record_id,paper_id,title,priority_tier,record_role,why_priority,fields_to_refine,recommended_source,next_action
PMID_39574401_R1,PMID_39574401,Tea Polyphenols Reduced Obesity by Modulating Gut Microbiota-SCFAs-Barrier and Inflammation in High-Fat Diet-Induced Mice,P1,primary_anchor,High-confidence core obesity-microbiota mechanism paper,"microbiota_taxon; microbial_metabolite; host_phenotype; mechanism_label",full_text,extract named taxa and barrier/inflammation phenotype details
PMID_39574401_R2,PMID_39574401,Tea Polyphenols Reduced Obesity by Modulating Gut Microbiota-SCFAs-Barrier and Inflammation in High-Fat Diet-Induced Mice,P1,primary_anchor,Best current SCFA/barrier microbiota bridge,"microbiota_taxon; host_phenotype; mechanism_label",full_text,split microbiota-SCFA-barrier axis into explicit submechanisms
PMID_38745351_R1,PMID_38745351,Gut Microbiota Mediate the Neuroprotective Effect of Oolong Tea Polyphenols in Cognitive Impairment Induced by Circadian Rhythm Disorder,P1,primary_anchor,Best current cognition-microbiota tea mechanism paper,"microbiota_taxon; microbial_metabolite; host_phenotype; mechanism_label",full_text,extract specific taxa and cognition endpoints
PMID_40957830_R1,PMID_40957830,Bai Mao Tea Polysaccharides Induce Adipose Tissue Browning and Ameliorate Diet-Induced Obesity by Modulating Butyrate Production and Gut Microbiota Composition,P1,primary_anchor,Contains explicit butyrate and thermogenesis bridge,"microbiota_taxon; host_phenotype",abstract_then_full_text,confirm adipose browning markers and taxa
PMID_40957830_R2,PMID_40957830,Bai Mao Tea Polysaccharides Induce Adipose Tissue Browning and Ameliorate Diet-Induced Obesity by Modulating Butyrate Production and Gut Microbiota Composition,P1,primary_anchor,One of the cleanest metabolite-mediated microbiota records,"microbiota_taxon; mechanism_label",abstract_then_full_text,refine butyrate-thermogenesis path
PMID_39153277_R1,PMID_39153277,Yellow tea polysaccharides protect against non-alcoholic fatty liver disease via regulation of gut microbiota and bile acid metabolism in mice,P1,primary_anchor,Strong microbiota-bile acid-metabolic phenotype paper,"microbiota_taxon; microbial_metabolite; host_phenotype",abstract_then_full_text,extract named bile acids and NAFLD endpoints
PMID_39153277_R2,PMID_39153277,Yellow tea polysaccharides protect against non-alcoholic fatty liver disease via regulation of gut microbiota and bile acid metabolism in mice,P1,primary_anchor,Needed for microbiota-bile acid subgraph,"microbiota_taxon; mechanism_label",abstract_then_full_text,refine microbiota-bile acid axis
PMID_39255891_R1,PMID_39255891,Tea flower polysaccharide attenuates metabolic syndrome in high-fat diet induced mice in association with modulation of gut microbiota,P1,primary_anchor,Important metabolic syndrome node,"microbiota_taxon; host_phenotype",abstract_then_full_text,replace syndrome-level host phenotype if specific markers are reported
PMID_39255891_R2,PMID_39255891,Tea flower polysaccharide attenuates metabolic syndrome in high-fat diet induced mice in association with modulation of gut microbiota,P1,primary_anchor,Needed to ground gut microbiota modulation edges,"microbiota_taxon; mechanism_label",abstract_then_full_text,extract taxa directionality if available
PMID_39479919_R1,PMID_39479919,Inhibitory effect of tea flower polysaccharides on oxidative stress and microglial oxidative damage in aging mice by regulating gut microbiota,P1,primary_anchor,Connects oxidative stress and microbiota,"microbiota_taxon; host_phenotype; mechanism_label",abstract_then_full_text,clarify oxidative endpoints and gut taxa
