confidence_score,edge_type,effect_direction,evidence_level,paper_id,record_id,source_id,study_type,target_id,uncertainty_class,uncertainty_flags
0.786,HAS_RECORD,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,paper:PMID_41907215,systematic review,record:PMID_41907215_GLM1,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,HAS_TEA_TYPE,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,tea_type:green_tea,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,HAS_MATERIAL_FORM,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,material_form:purified_component,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,HAS_COMPONENT_GROUP,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,component_group:catechins,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,SUPPORTS_ACTIVITY,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,activity:gut_microbiota_modulation,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,HAS_STUDY_TYPE,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,study_type:systematic_review,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,HAS_EVIDENCE_LEVEL,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,evidence_level:evidence_synthesis_nonquantitative,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,HAS_EFFECT_DIRECTION,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,effect_direction:positive,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,ACTS_VIA,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,mechanism:gut_lung_axis_modulation,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,ASSOCIATED_HOST_PHENOTYPE,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,phenotype:gut_homeostasis,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,ASSOCIATED_HOST_PHENOTYPE,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,phenotype:barrier_function,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,ASSOCIATED_HOST_PHENOTYPE,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,phenotype:immune_response,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,HAS_UNCERTAINTY_FLAG,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,uncertainty:missing_named_microbiota,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,HAS_UNCERTAINTY_FLAG,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,uncertainty:missing_processing_or_extraction_context,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.786,HAS_UNCERTAINTY_FLAG,positive,evidence_synthesis_nonquantitative,PMID_41907215,PMID_41907215_GLM1,record:PMID_41907215_GLM1,systematic review,uncertainty:review_summary_record,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
0.744,HAS_RECORD,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,paper:PMID_41901054,systematic review,record:PMID_41901054_GLM1,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,HAS_TEA_TYPE,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,tea_type:green_tea,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,HAS_MATERIAL_FORM,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,material_form:purified_component,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,HAS_COMPONENT_GROUP,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,component_group:mixed_polyphenols,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,HAS_PROCESSING_STEP,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,processing_step:decaffeination,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,SUPPORTS_ACTIVITY,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,activity:anti_obesity,moderate_uncertainty,generic_mechanism; review_summary_record
0.744,HAS_STUDY_TYPE,negative,evidence_synthesis_nonquantitative,PMID_41901054,PMID_41901054_GLM1,record:PMID_41901054_GLM1,systematic review,study_type:systematic_review,moderate_uncertainty,generic_mechanism; review_summary_record
