record_id,paper_id,processing_present,extraction_present,component_present,tea_type,material_form,component_group,processing_step,extraction_method,compound_name,cultivar,origin,evidence_terms,raw_context_phrase,confidence_score,reasoning_short,patch_status,patch_uncertainty_flags
PMID_37082776_GLM1,PMID_37082776,false,false,false,green tea,tea infusion,,,,,,,green tea administration;green tea intake;green tea supplementation;consumption of green tea,effect of green tea intake on the lipid profile,0.90,"Tea type and material form stated; no processing, extraction, or specific compounds reported in title or abstract.",llm_extracted,
PMID_38242204_AUTO1,PMID_38242204,false,false,false,unspecified tea,unspecified material,,,,,,,tea; coffee; water,"Only water, tea, and coffee (without caloric additives) were permitted to be consumed in the remaining 16 hours per 24-hour period.",0.90,"Tea mentioned only as permitted beverage during fasting without specification of type, processing, or components.",llm_extracted,tea role incidental
PMID_38501370_GLM1,PMID_38501370,false,false,false,,,,,,,,,,,1.00,"Study focuses on human milk-fed preterm infants and gut microbiome; no tea material, processing, or extraction context mentioned in title or abstract.",llm_extracted,
PMID_38501370_GLM2,PMID_38501370,false,false,false,,,,,,,,,,,1.00,"Study focuses on human milk-fed preterm infants and human milk oligosaccharides; no tea material, processing, or extraction context present.",llm_extracted,
PMID_38501370_GLM3,PMID_38501370,false,false,false,,,,,,,,,,,1.00,"Study focuses on human milk-fed preterm infants and gut microbiome; no tea material, processing, or extraction context reported in title or abstract.",llm_extracted,
PMID_38503153_GLM1,PMID_38503153,false,false,true,green tea,purified component,catechins,,,epigallocatechin-3-gallate; EGCG,,,Epigallocatechin-3-gallate (EGCG); primary active compound in green tea; EGCG dosage,"Epigallocatechin-3-gallate (EGCG), the primary active compound in green tea",0.95,Abstract explicitly identifies EGCG as primary active compound in green tea; no processing or extraction methods described for the tea material itself.,llm_extracted,
PMID_38520117_GLM1,PMID_38520117,false,false,true,unspecified tea,purified component,catechins,,,(-)-Epigallocatechin-3-gallate; EGCG,,,natural phenolic substance found in foods and beverages (especially tea); EGCG-based nanoparticles,(-)-Epigallocatechin-3-gallate (EGCG) is a natural phenolic substance found in foods and beverages (especially tea),0.95,"Abstract explicitly names EGCG as a tea component; no processing or extraction methods described for tea material itself, only nanoparticle synthesis.",llm_extracted,
PMID_38520117_GLM2,PMID_38520117,false,false,true,unspecified tea,purified component,catechins,,,EGCG; (-)-Epigallocatechin-3-gallate,,,EGCG; natural phenolic substance; especially tea,(-)-Epigallocatechin-3-gallate (EGCG) is a natural phenolic substance found in foods and beverages (especially tea),0.95,Abstract identifies EGCG as a component found in tea but provides no processing or extraction details.,llm_extracted,
PMID_38521977_GLM1,PMID_38521977,false,false,false,unspecified tea,tea infusion,,,,,,,tea; cups/day; drinking,drinking three to four cups/day of tea,0.90,"Study examines self-reported tea consumption as beverage cups without specifying processing, extraction, or chemical components.",llm_extracted,
PMID_38571923_GLM2,PMID_38571923,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption; moderate coffee and tea,moderate coffee and tea consumption do not have long-term adverse health effects,0.90,"Scoping review discusses tea as a beverage category without specifying processing, extraction, or components.",llm_extracted,tea type inferred from general beverage context
