record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes,title,abstract,journal,year,source_is_auto_only,silver_tea_type,silver_material_form,silver_component_group,silver_processing_step,silver_extraction_method,component_evidence_terms,processing_evidence_terms,extraction_evidence_terms,schema_validation_flags,uncertainty_flags,record_specificity_score,mechanism_specificity_score,context_completeness_score,silver_confidence_score,uncertainty_class,raw_silver_processing_step,raw_silver_extraction_method
PMID_41907215_GLM1,PMID_41907215,green tea,purified component,catechins,Epigallocatechin gallate; EGCG,gut microbiota modulation,ARDS mitigation,systematic review,evidence_synthesis_nonquantitative,review synthesis,,positive,,,,,gut-lung axis modulation,,,gut homeostasis; barrier function; immune response,"EGCG shows promise in ARDS therapy by restoring gut homeostasis, enhancing barrier function, modulating immune responses.",0.90,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=1.00,Epigallocatechin Gallate Influences in Acute Respiratory Distress Syndrome by Regulating Gut Microbiota: Current Research Status and Therapeutic Prospects.,"Acute respiratory distress syndrome (ARDS) is a life-threatening condition characterized by high mortality, with its pathogenesis involving multiple factors, including inflammatory responses, oxidative stress, and immune dysregulation. However, current clinical interventions remain limited. Recently, the ""gut-lung axis""-the interplay between gut microbiota and lung diseases-has gained significant attention, offering new perspectives for ARDS prevention and treatment. Epigallocatechin gallate (EGCG), the primary bioactive compound in green tea, exhibits distinct anti-inflammatory, antioxidant, and microbiota-modulating properties. EGCG shows promise in ARDS therapy by restoring gut homeostasis, enhancing barrier function, modulating immune responses, and influencing microbial metabolites. However, the precise mechanisms underlying its effects and its clinical applicability warrant further exploration. This review examines the molecular mechanisms through which EGCG modulates ARDS by regulating gut microbiota and considers its potential as a novel therapeutic approach, offering valuable theoretical and practical insights for future clinical applications.",Journal of inflammation research,2026,true,green tea,purified component,catechins,,,Epigallocatechin gallate; EGCG; primary bioactive compound in green tea,Epigallocatechin gallate; EGCG; primary bioactive compound in green tea,Epigallocatechin gallate; EGCG; primary bioactive compound in green tea,,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,0.725,0.850,0.550,0.786,moderate_uncertainty,,
PMID_41901054_GLM1,PMID_41901054,green tea,purified component,mixed polyphenols,,anti-obesity,age of first menstruation,systematic review,evidence_synthesis_nonquantitative,human,,negative,,,,,,,,obesity,polyphenols from decaffeinated green tea (DGTP) may contribute to lowering the age of first menstruation in girls living with obesity.,0.80,glm5_nvidia,llm_title_abstract_annotated,Effect pertains specifically to girls with obesity.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,Association Between Selected Flavanols and Isoflavones and Precocious Puberty in Girls-A Scoping Review.,"Background/Objectives: Precocious puberty in girls currently appears to be one of the main problems in pediatric endocrine gynecology. Early onset of menstruation (EOM) means that the age at which the first menstruation occurs is lower than the average/median for the population, which ranges from 12 to 13 years and depends primarily on ethnic origin. Depending on age and severity of symptoms, these disorders negatively affect girls' quality of life in many areas, including school life, family relationships, and everyday life. Methods: This article provides a scoping review summarizing scientific evidence from human studies on the association between substances derived from green tea (flavanols) and soy (isoflavones) and precocious puberty in girls. Results: Despite the relatively small number of girls enrolled in the studies, available scientific evidence from randomized controlled trials (RCTs) suggests that polyphenols from decaffeinated green tea (DGTP) may contribute to lowering the age of first menstruation in girls living with obesity. The effect of soy isoflavones or soy in the context of premature menstruation in girls is unclear. Most studies report that it may have no effect on the age of first menstruation, while individual studies suggest that very early exposure to soy (< 4 months of age) may result in earlier puberty, and others suggest that higher consumption of soy isoflavones delays this process. Conclusions: Further well-designed intervention studies in humans are needed to better understand the endocrine and metabolic relationships regarding the role and importance of specific polyphenols in the pathogenic mechanisms of the development and treatment of precocious puberty in girls.",Nutrients,2026,true,green tea,purified component,mixed polyphenols,decaffeination,,decaffeinated green tea; DGTP; polyphenols,decaffeinated green tea; DGTP; polyphenols,decaffeinated green tea; DGTP; polyphenols,,generic_mechanism; review_summary_record,0.575,0.000,0.800,0.744,moderate_uncertainty,decaffeination,
PMID_41899489_GLM1,PMID_41899489,unspecified tea,purified component,tea polysaccharides,tea polysaccharides; TPS,gut microbiota modulation,NAFLD amelioration,animal study,preclinical_in_vivo,mouse model,,positive,,,,,gut-liver axis: promotes butyrate production to skew macrophages to M2,,butyric acid,reduced liver inflammation and injury,TPS ameliorates NAFLD-associated inflammation by modulating the gut-liver axis and promoting M2 macrophage polarization.,0.95,glm5_nvidia,llm_title_abstract_annotated,Dose: 100 mg/kg daily for 14 weeks.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,"Non-alcoholic fatty liver disease (NAFLD) is the most common chronic liver disease and a global public health concern, for which there is currently no effective method to inhibit its progression. The pathogenesis of NAFLD is related to hepatic lipid metabolism disorders and liver inflammation. Previous studies have shown that tea polysaccharides (TPS) have the ability to regulate lipid metabolism and control inflammation. This study aimed to observe the effect of TPS on ameliorating NAFLD in a mouse model and to reveal its underlying mechanisms. In the current study, male C57BL/6J mice were fed a high-fat diet and administered 100 mg/kg TPS daily by gavage for 14 weeks. Then, liver injury indicators and macrophage polarization markers were detected. The results revealed that TPS could significantly ameliorate the progression of NAFLD and decrease liver injury indicators. Moreover, we found that treatment of NAFLD model mice with TPS could skew liver macrophages polarization from M1 to M2 type, which inhibited pro-inflammatory cytokines production and liver inflammation. Mechanistically, TPS cannot directly regulate the polarization of liver macrophages, but instead promotes the production of butyric acid by gut microbiota, which in turn regulates macrophage polarization. These findings suggest that TPS ameliorates NAFLD-associated inflammation by modulating the gut-liver axis and promoting M2 macrophage polarization, laying the foundation for the potential of TPS in the development of health foods for NAFLD.",Current issues in molecular biology,2026,true,unspecified tea,purified component,tea polysaccharides,,,tea polysaccharides; TPS; 100 mg/kg TPS daily by gavage,tea polysaccharides; TPS; 100 mg/kg TPS daily by gavage,tea polysaccharides; TPS; 100 mg/kg TPS daily by gavage,,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only,0.512,0.750,0.300,0.710,moderate_uncertainty,,
PMID_41899489_GLM2,PMID_41899489,unspecified tea,purified component,tea polysaccharides,TPS;tea polysaccharides,gut microbiota modulation,microbial metabolite production,animal study,preclinical_in_vivo,mouse model,,positive,,,,,TPS promotes gut microbiota production of butyric acid,,butyric acid,,"TPS...promotes the production of butyric acid by gut microbiota, which in turn regulates macrophage polarization.",0.90,glm5_nvidia,llm_title_abstract_annotated,Specific taxa not mentioned in abstract.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,"Non-alcoholic fatty liver disease (NAFLD) is the most common chronic liver disease and a global public health concern, for which there is currently no effective method to inhibit its progression. The pathogenesis of NAFLD is related to hepatic lipid metabolism disorders and liver inflammation. Previous studies have shown that tea polysaccharides (TPS) have the ability to regulate lipid metabolism and control inflammation. This study aimed to observe the effect of TPS on ameliorating NAFLD in a mouse model and to reveal its underlying mechanisms. In the current study, male C57BL/6J mice were fed a high-fat diet and administered 100 mg/kg TPS daily by gavage for 14 weeks. Then, liver injury indicators and macrophage polarization markers were detected. The results revealed that TPS could significantly ameliorate the progression of NAFLD and decrease liver injury indicators. Moreover, we found that treatment of NAFLD model mice with TPS could skew liver macrophages polarization from M1 to M2 type, which inhibited pro-inflammatory cytokines production and liver inflammation. Mechanistically, TPS cannot directly regulate the polarization of liver macrophages, but instead promotes the production of butyric acid by gut microbiota, which in turn regulates macrophage polarization. These findings suggest that TPS ameliorates NAFLD-associated inflammation by modulating the gut-liver axis and promoting M2 macrophage polarization, laying the foundation for the potential of TPS in the development of health foods for NAFLD.",Current issues in molecular biology,2026,true,unspecified tea,purified component,tea polysaccharides,,,tea polysaccharides;TPS,tea polysaccharides;TPS,tea polysaccharides;TPS,,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only,0.512,0.750,0.300,0.683,moderate_uncertainty,,
PMID_41898599_GLM1,PMID_41898599,fermented tea,fermented beverage,multiple component groups,,antioxidant,antioxidant capacity,systematic review,evidence_synthesis_nonquantitative,in vitro,,unclear,,,,,phenolic compounds,,organic acids,,"This composition varies significantly depending on the fermentation conditions, which in turn modifies the beverage's bioactive properties (i.e., antioxidant capacity or antimicrobial properties, among others).",0.85,glm5_nvidia,llm_title_abstract_annotated,Bioactivity attributed to phenolic compounds and organic acids.; llm_postprocessed=true,"Kombucha as a Bioactive Functional Beverage: Current Evidence, Production Challenges, and Future Perspectives.","Kombucha is a beverage obtained through the fermentation of tea leaves by a symbiotic culture of bacteria and yeast called SCOBY. This beverage is popularly known for the potential health benefits associated with its consumption, which is the main reason for its commercial expansion over the last century. These potential benefits are linked to the presence of a wide variety of bioactive compounds, notably phenolic compounds and organic acids. This composition varies significantly depending on the fermentation conditions, which in turn modifies the beverage's bioactive properties (i.e., antioxidant capacity or antimicrobial properties, among others). For this reason, the most recent advances in kombucha production are geared towards achieving standardized production, including strategies for enhancing bioactive content and fortification with functional ingredients. All these advances should satisfy quality control and regulatory compliance. However, despite the growing scientific and commercial interest in kombucha, current knowledge remains fragmented across different disciplines, highlighting the need for an updated and integrative overview of its composition, bioactivity, production variables, and safety aspects. In this review, nutritional, microbiological, and technological perspectives are integrated to provide an updated framework for understanding kombucha as a functional beverage, while also outlining key directions for future research and industrial application.",International journal of molecular sciences,2026,true,fermented tea,fermented beverage,mixed polyphenols,fermentation/oxidation,,phenolic,kombucha; fermentation; scoby,,,review_summary_record; uncertain_effect_direction,0.762,0.750,0.800,0.818,low_uncertainty,fermentation/oxidation,
PMID_41898599_GLM2,PMID_41898599,fermented tea,fermented beverage,multiple component groups,,other,antimicrobial properties,systematic review,evidence_synthesis_nonquantitative,review synthesis,,unclear,,,,,bioactive compounds,,,,"This composition varies significantly depending on the fermentation conditions, which in turn modifies the beverage's bioactive properties (i.e., antioxidant capacity or antimicrobial properties, among others).",0.80,glm5_nvidia,llm_title_abstract_annotated,llm_postprocessed=true,"Kombucha as a Bioactive Functional Beverage: Current Evidence, Production Challenges, and Future Perspectives.","Kombucha is a beverage obtained through the fermentation of tea leaves by a symbiotic culture of bacteria and yeast called SCOBY. This beverage is popularly known for the potential health benefits associated with its consumption, which is the main reason for its commercial expansion over the last century. These potential benefits are linked to the presence of a wide variety of bioactive compounds, notably phenolic compounds and organic acids. This composition varies significantly depending on the fermentation conditions, which in turn modifies the beverage's bioactive properties (i.e., antioxidant capacity or antimicrobial properties, among others). For this reason, the most recent advances in kombucha production are geared towards achieving standardized production, including strategies for enhancing bioactive content and fortification with functional ingredients. All these advances should satisfy quality control and regulatory compliance. However, despite the growing scientific and commercial interest in kombucha, current knowledge remains fragmented across different disciplines, highlighting the need for an updated and integrative overview of its composition, bioactivity, production variables, and safety aspects. In this review, nutritional, microbiological, and technological perspectives are integrated to provide an updated framework for understanding kombucha as a functional beverage, while also outlining key directions for future research and industrial application.",International journal of molecular sciences,2026,true,fermented tea,fermented beverage,mixed polyphenols,fermentation/oxidation,,phenolic,kombucha; fermentation; scoby,,,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,0.712,0.550,0.800,0.778,moderate_uncertainty,fermentation/oxidation,
PMID_41897706_GLM1,PMID_41897706,unspecified tea,purified component,theaflavins,,other,Plasma F Cmax,animal study,preclinical_in_vivo,rat model,,negative,,,,,Fecal F excretion increase,,,,"High-dose EGCG (450 mg/kg) reduced Cmax by 61.76% and total exposure (AUC0-t) by 37.48% compared to the control, while significantly increasing fecal F by 26.79%.",0.90,glm5_nvidia,llm_title_abstract_annotated,Component: EGCG.; Component: Theabrownin.; Component: Tea polysaccharides.; llm_postprocessed=true,Modulatory Effects of Tea Components with Different Fermentation Degrees on Fluoride Bioavailability in Rats.,"Tea offers health benefits, but some teas accumulate high fluoride (F), posing fluorosis risks. However, the roles of individual tea components in regulating F bioavailability remain unclear. This study investigated the effects of major tea constituents on F metabolism in male rats (n = 5/group) administered F (40 mg/L) alone or with graded doses of epigallocatechin gallate (EGCG, 150-450 mg/kg); theaflavins, thearubigins, and theabrownin (TFs, TRs, TB, 200-800 mg/kg each); tea polysaccharides (TPSs, 25-250 mg/kg); and calcium and aluminum (Ca, Al, 800-3200 µg/kg each) via gavage. Pharmacokinetic analysis of plasma F (0-480 min) and fecal F excretion were assessed. The result showed that high-dose EGCG (450 mg/kg) reduced Cmax by 61.76% and total exposure (AUC0-t) by 37.48% compared to the control, while significantly increasing fecal F by 26.79% (p < 0.05). TB (800 mg/kg) delayed F absorption by prolonging Tmax from 18 to 30 min and reduced Cmax by 35.38% (p < 0.05). TPS (250 mg/kg) decreased Cmax by 51.72% and AUC0-t by 24.38% (p < 0.05). Ca and Al (800-3200 µg/kg) reduced Cmax by 39.19-69.62%, and low-dose aluminum (800 µg/kg) increased fecal F by 35.58% (p < 0.05). These findings elucidate distinct roles of tea constituents in mitigating F bioavailability, providing a scientific basis for tea safety assessment and dietary interventions against F overexposure.","Foods (Basel, Switzerland)",2026,true,unspecified tea,purified component,theaflavins,fermentation/oxidation,,epigallocatechin gallate; egcg; theaflavins; thearubigins; tea polysaccharides; tps,fermentation,,,preclinical_only; taxonomy_expansion_needed,0.525,0.550,0.550,0.736,moderate_uncertainty,fermentation/oxidation,
PMID_41888324_GLM1,PMID_41888324,unspecified tea,unspecified material,multiple component groups,,other,therapeutic roles,systematic review,evidence_synthesis_nonquantitative,review synthesis,,unclear,,,,,multi-target pharmacological effects,,,,"species like L. lucidum and L. robustum are well-documented for their therapeutic roles in nourishing the liver and kidneys, enhancing vision, darkening hair, and serving as functional tea ingredients.",0.80,glm5_nvidia,llm_title_abstract_annotated,Traditional medicine claims for Ligustrum species used as functional tea.; General pharmacological profile of Ligustrum bioactive compounds.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,"Valorization of ligustrum species: biosynthesis, metabolic engineering, and pharmacology of bioactive compounds.","The genus Ligustrum (Oleaceae) encompasses woody plants with both medicinal and edible uses, distinguished by a wide range of bioactive compounds, including triterpenoids, phenylethanoid glycosides, flavonoids, and other active constituents. These metabolites demonstrate multi-target pharmacological effects, such as anti-inflammatory, antioxidant, antitumor, and anti-osteoporotic activities. In traditional medicine, species like L. lucidum and L. robustum are well-documented for their therapeutic roles in nourishing the liver and kidneys, enhancing vision, darkening hair, and serving as functional tea ingredients. Beyond their medicinal and health-promoting properties, Ligustrum species are also employed as ornamental plants, bioindicators of atmospheric pollution, algicidal agents, and feed additives. Given the increasing global demand and underutilization of Ligustrum resources, there is an urgent need to establish a sustainable supply framework focused on alternative strategies such as metabolic engineering, synthetic biology, and environmentally friendly manufacturing. This review encapsulates recent progress in the exploration of chemical diversity, pharmacological characteristics, omics-based analyses, and biosynthetic research pertaining to Ligustrum. It proposes an integrated methodology that amalgamates multi-omics approaches, synthetic biology, and environmentally sustainable manufacturing processes to advance strategies for whole-plant valorization and germplasm conservation. The objective is to establish a theoretical framework and technical paradigm to facilitate the comprehensive exploitation and sustainable utilization of Ligustrum as a medicinal resource.",Bioresources and bioprocessing,2026,true,unspecified tea,unspecified material,mixed polyphenols,,,functional tea ingredients,functional tea ingredients,functional tea ingredients,,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,0.463,0.550,0.300,0.616,moderate_uncertainty,,
PMID_41884463_GLM1,PMID_41884463,dark tea,unspecified material,multiple component groups,,other,Flavor and aroma profile modulation,animal study,preclinical_in_vivo,Aspergillus tubingensis fermentation culture,,unclear,,,,,Temperature-dependent metabolic regulation,Aspergillus tubingensis,1-octen-3-ol; beta-ionone,,"Low temperatures produced a mushroom-like aroma profile dominated by 1-octen-3-ol at dark tea fermentation, while high temperatures yielded a floral-woody profile via massive accumulation of beta-ionone.",0.95,glm5_nvidia,llm_title_abstract_annotated,Bioactivity referenced via specific metabolite production claim.; llm_postprocessed=true,Temperature regulates flavor and bioactivity in dark tea fermentation: Insights from an A spergillus tubingensis single-strain model.,"Temperature acts as a master regulator of microbial metabolism in dark tea fermentation, but how to precisely steer this process to craft flavor profiles remains a significant challenge. The metabolic fingerprint of Aspergillus tubingensis during dark tea fermentation under varying temperatures was decoded by utilizing HS-SPME-GC-MS and UHPLC-Q-Exactive HF/MS techniques. The results revealed that temperature acts as a precise metabolic switch. Low temperatures produced a mushroom-like aroma profile dominated by 1-octen-3-ol at dark tea fermentation, while high temperatures yielded a floral-woody profile via massive accumulation of β-ionone. This temperature-dependent control extended to non-volatile compounds, modulating taste by balancing flavonoid degradation with carbohydrate metabolism. Critically, temperature significantly regulated the production of lovastatin by A. tubingensis. This study not only provides a clear metabolic blueprint for understanding the dark tea fermentation but also offers a theoretical basis for the targeted regulation of tea quality via precise temperature control.",Food chemistry: X,2026,true,dark tea,unspecified material,volatile compounds; mixed polyphenols,fermentation/oxidation,,volatile compounds; flavonoid,fermentation,,,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,0.825,0.750,0.800,0.889,moderate_uncertainty,fermentation/oxidation,
PMID_41882045_GLM1,PMID_41882045,green tea,purified component,catechins,catechine,other,parasite mortality and egg hatch inhibition,animal study,preclinical_in_vivo,Haemonchus contortus from sheep,,unclear,,,,,cuticle distortion and muscular layer degeneration,,,,GT showed potent anthelmintic activity with complete inhibition of egg hatchability and significant larval motility inhibition.,0.95,glm5_nvidia,llm_title_abstract_annotated,Study demonstrates efficacy against albendazole-resistant isolates.; llm_postprocessed=true; targeted_processing_llm_patch=llm_extracted; patch_confidence=0.95,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.","Haemonchus contortus remains the main multidrug resistant strongyle threatened livestock productivity. The phytochemical components of green tea beverage (GT) might provide an alternative and sustainable anthelmintic effect. Therefore, this study aimed to evaluate the anthelmintic effect of GT beverage against albendazole resistant H. contortus from naturally infected sheep. Albendazole resistance was detected through egg hatch inhibition assay. Assessment of GT phytochemicals, antioxidant ability, anthelmintic effect and cytotoxicity MTT (dimethylthiazol-diphenyltetrazolium bromide) colorimetric assay were achieved. The GT was of high Total Phenolic Content; 555.32 mg gallic acid equivalents /g. Remarkable GT antioxidant qualities were noted where, 1,1-diphenyl-2-picrylhydrazyl (DPPH) radical scavenging activity (85.14%), DPPH antioxidant activity as 907.57 mg vitamin C/g equivalents, and Ferric Reducing Antioxidant Power (8991.04 µg Trolox/g). High Performance Liquid Chromatography showed rich profile of phenolics mainly catechine (70,190.8 µg/g). A potent anthelmintic activity of the GT was noted at 50 mg/mL; complete inhibition of egg hatchability (LC50; 0.144 mg/mL), significant larval motility inhibition (LC50; 0.127 mg/mL) and severe structural deformity on H. contortus eggs and larvae. Additionally, 100% worm motility inhibition and mortality index 1 were recorded at 400 mg/mL in 2 h incubation (LC50; 13.387 mg/mL). The light and electron scanning microscopy of the treated adult proved distortion in the muscular layer of the cuticle wall with severe degenerative changes. The GT maintained viability of the BJ1 cell lines without cytotoxic effect at (0.78 to 200 µg/mL) concentrations. Overall, green tea beverage could be offered as safe and potent alternative anthelmintic to combat the albendazole-resistance isolates of H. contortus.",Scientific reports,2026,true,green tea,tea infusion,catechins,,,green tea beverage; GT; Total Phenolic Content; catechine,green tea beverage; GT; Total Phenolic Content; catechine,green tea beverage; GT; Total Phenolic Content; catechine,,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,0.650,0.550,0.550,0.795,moderate_uncertainty,,
