source_id,target_id,edge_type,provenance
record:PMID_36449351_R1,phenotype:obesity_related_phenotype,ASSOCIATED_HOST_PHENOTYPE,PMID_36449351
record:PMID_38745351_R1,mechanism:intestinal_barrier_protection,ACTS_VIA,PMID_38745351
microbiota:muribaculaceae_clostridia_ucg_014_desulfovibrio,metabolite:lps_scfas_glutamate,LINKS_TO_METABOLITE,PMID_38745351
metabolite:lps_scfas_glutamate,phenotype:cognitive_impairment_phenotype,AFFECTS_HOST_PHENOTYPE,PMID_38745351
paper:PMID_39574401,record:PMID_39574401_R1,HAS_RECORD,PMID_39574401
record:PMID_39574401_R1,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_39574401
record:PMID_39574401_R1,component_group:mixed_polyphenols,HAS_COMPONENT_GROUP,PMID_39574401
record:PMID_39574401_R1,activity:anti_obesity,SUPPORTS_ACTIVITY,PMID_39574401
record:PMID_39574401_R1,study_type:animal_study,HAS_STUDY_TYPE,PMID_39574401
record:PMID_39574401_R1,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_39574401
record:PMID_39574401_R1,mechanism:gut_barrier_preservation,ACTS_VIA,PMID_39574401
record:PMID_39574401_R1,mechanism:tlr4_signaling_inhibition,ACTS_VIA,PMID_39574401
record:PMID_39574401_R1,mechanism:inflammatory_cytokine_suppression,ACTS_VIA,PMID_39574401
record:PMID_39574401_R1,microbiota:blautia_faecalibaculum_colidextribacter,MODULATES_MICROBIOTA,PMID_39574401
microbiota:blautia_faecalibaculum_colidextribacter,metabolite:scfas,LINKS_TO_METABOLITE,PMID_39574401
record:PMID_39574401_R1,phenotype:obesity_related_phenotype,ASSOCIATED_HOST_PHENOTYPE,PMID_39574401
metabolite:scfas,phenotype:obesity_related_phenotype,AFFECTS_HOST_PHENOTYPE,PMID_39574401
paper:PMID_39574401,record:PMID_39574401_R2,HAS_RECORD,PMID_39574401
record:PMID_39574401_R2,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_39574401
record:PMID_39574401_R2,component_group:mixed_polyphenols,HAS_COMPONENT_GROUP,PMID_39574401
record:PMID_39574401_R2,activity:gut_microbiota_modulation,SUPPORTS_ACTIVITY,PMID_39574401
record:PMID_39574401_R2,study_type:animal_study,HAS_STUDY_TYPE,PMID_39574401
record:PMID_39574401_R2,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_39574401
record:PMID_39574401_R2,mechanism:g_protein_coupled_receptor_activation,ACTS_VIA,PMID_39574401
record:PMID_39574401_R2,mechanism:histone_deacetylase_inhibition,ACTS_VIA,PMID_39574401
record:PMID_39574401_R2,mechanism:tight_junction_enhancement,ACTS_VIA,PMID_39574401
record:PMID_39574401_R2,mechanism:barrier_protection,ACTS_VIA,PMID_39574401
record:PMID_39574401_R2,microbiota:blautia_faecalibaculum_colidextribacter,MODULATES_MICROBIOTA,PMID_39574401
microbiota:blautia_faecalibaculum_colidextribacter,metabolite:scfas,LINKS_TO_METABOLITE,PMID_39574401
record:PMID_39574401_R2,phenotype:intestinal_barrier_integrity_and_reduced_inflammation_state,ASSOCIATED_HOST_PHENOTYPE,PMID_39574401
metabolite:scfas,phenotype:intestinal_barrier_integrity_and_reduced_inflammation_state,AFFECTS_HOST_PHENOTYPE,PMID_39574401
record:PMID_40957830_R1,phenotype:obesity_related_phenotype,ASSOCIATED_HOST_PHENOTYPE,PMID_40957830
metabolite:butyrate,phenotype:obesity_related_phenotype,AFFECTS_HOST_PHENOTYPE,PMID_40957830
