record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes
PMID_38056775_R1,PMID_38056775,unspecified tea,unspecified material,multiple component groups,,anti-inflammatory,general anti-inflammatory activity summary,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,,,,,multiple mechanisms summarized,,,,"Updated review summarizing anti-inflammatory mechanisms and activities of tea bioactive compounds across studies.",0.95,codex_v1,adjudicated,Review-derived summary
PMID_38056775_R2,PMID_38056775,unspecified tea,unspecified material,multiple component groups,,gut microbiota modulation,general gut microbiota modulation summary,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,,,,,microbiota-related mechanisms summarized,,,,"Updated review summarizing gut microbiota-related functional activities of tea bioactive compounds.",0.93,codex_v1,adjudicated,Review-derived summary
PMID_40477896_R1,PMID_40477896,unspecified tea,tea extract,multiple component groups,,other,extraction technologies affecting bioactive compound recovery,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,,multiple extraction methods,,,compound recovery and process efficiency,,,,"Review describing how extraction technologies influence recovery of value-added tea bioactive compounds.",0.91,codex_v1,adjudicated,Phase-2 context
PMID_38137271_R1,PMID_38137271,black tea,tea leaf,multiple component groups,,other,processing-associated phytochemical profile change,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,withering;rolling;fermentation/oxidation;drying,,,,phytochemical profile modulation,,,,"Review linking black tea harvesting and processing steps to phytochemical profile and final quality.",0.90,codex_v1,adjudicated,Phase-2 context
PMID_39274868_R1,PMID_39274868,unspecified tea,tea infusion,multiple component groups,,gut microbiota modulation,gut microbiota composition and function modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,positive,processing category contrast,,,,microbiota-mediated modulation,,,,"Review on differently processed tea and gut microbiota effects across tea types.",0.95,codex_v1,adjudicated,Bridge review
PMID_39920567_R1,PMID_39920567,unspecified tea,purified component,mixed polyphenols,tea polyphenols,other,bioavailability as determinant of in vivo activity interpretation,systematic review,evidence_synthesis_nonquantitative,review synthesis,not_applicable,mixed,,,,,bioavailability and metabolism constraints,,,,"Review arguing that tea polyphenol bioavailability is essential for interpreting mechanisms of action and health effects in vivo.",0.96,codex_v1,adjudicated,Interpretation layer
PMID_38938012_R1,PMID_38938012,unspecified tea,tea infusion,whole extract,,cardiovascular protection,cardiovascular disease mortality risk,meta-analysis,evidence_synthesis,human prospective cohorts,habitual tea consumption as reported in included cohorts,positive,,,,,,,,,"Meta-analysis of prospective cohorts indicating an association between tea consumption and reduced cardiovascular disease mortality risk.",0.94,codex_v1,adjudicated,Human evidence
PMID_38938012_R2,PMID_38938012,unspecified tea,tea infusion,whole extract,,other,all-cause mortality risk,meta-analysis,evidence_synthesis,human prospective cohorts,habitual tea consumption as reported in included cohorts,positive,,,,,,,,,"Meta-analysis of prospective cohorts indicating an association between tea consumption and reduced all-cause mortality risk.",0.92,codex_v1,adjudicated,Human evidence
PMID_40314930_R1,PMID_40314930,unspecified tea,purified component,theanine,L-theanine,neuroprotection,cognition and mood related outcomes in healthy participants,meta-analysis,evidence_synthesis,human randomized trials,dose and duration as reported in included RCTs,mixed,,,,,,,"","Systematic review and meta-analysis of RCTs on tea or L-theanine or L-theanine plus caffeine reporting cognition-related outcomes in healthy participants.",0.91,codex_v1,adjudicated,Human cognition evidence
PMID_39574401_R1,PMID_39574401,unspecified tea,purified component,mixed polyphenols,tea polyphenols,anti-obesity,body weight gain liver/adipose accumulation and liver fat reduction in HFD mice,animal study,preclinical_in_vivo,high-fat diet-induced mice,as reported in paper,positive,,,,,gut barrier preservation; TLR4 signaling inhibition; inflammatory cytokine suppression,Blautia; Faecalibaculum; Colidextribacter,SCFAs,obesity-related phenotype,"Tea polyphenols attenuated HFD-induced weight gain, liver and adipose accumulation, improved liver fat content, and suppressed inflammatory signaling while modulating gut microbiota and SCFAs.",0.97,codex_v1,full_text_refined,Refined from PubMed abstract/snippet with taxa and mechanism details
PMID_39574401_R2,PMID_39574401,unspecified tea,purified component,mixed polyphenols,tea polyphenols,gut microbiota modulation,gut microbiota and SCFA modulation with barrier protection in HFD mice,animal study,preclinical_in_vivo,high-fat diet-induced mice,as reported in paper,positive,,,,,G protein-coupled receptor activation; histone deacetylase inhibition; tight junction enhancement; barrier protection,Blautia; Faecalibaculum; Colidextribacter,SCFAs,intestinal barrier integrity and reduced inflammation state,"Tea polyphenols increased Blautia and Faecalibaculum, reduced Colidextribacter, activated G protein-coupled receptors, inhibited histone deacetylases, enhanced intestinal tight junction expression, and preserved intestinal barrier integrity.",0.97,codex_v1,full_text_refined,Refined from PubMed abstract/snippet with taxa and barrier-mechanism details
