paper_id,source_db,title,authors,journal,year,doi,pmid,study_type,tea_type,material_form,component_group,activity_category,processing_present,extraction_present,microbiome_present,include_status,exclusion_reason,notes
PMID_38056775,PubMed,Biological potential and mechanisms of Tea's bioactive compounds: An Updated review,"Luo Q et al.",Journal of Advanced Research,2024,10.1016/j.jare.2023.12.004,38056775,systematic review,unspecified tea,unspecified material,multiple component groups,other,no,no,yes,include,,Core umbrella review
PMID_40477896,PubMed,Processing Technologies for the Extraction of Value-Added Bioactive Compounds from Tea,"Raghunath S et al.",Food Engineering Reviews,2023,10.1007/s12393-023-09338-2,40477896,systematic review,unspecified tea,tea extract,multiple component groups,other,no,yes,no,include,,Processing/extraction review
PMID_38137271,PubMed,Tea Harvesting and Processing Techniques and Its Effect on Phytochemical Profile and Final Quality of Black Tea: A Review,"Aaqil M et al.",Foods,2023,10.3390/foods12244467,38137271,systematic review,black tea,tea leaf,multiple component groups,other,yes,no,no,include,,Processing/phytochemical review
PMID_39274868,PubMed,Effects of Differently Processed Tea on the Gut Microbiota,"Zhao Z et al.",Molecules,2024,10.3390/molecules29174020,39274868,systematic review,unspecified tea,tea infusion,multiple component groups,gut microbiota modulation,yes,no,yes,include,,Bridge review
PMID_39920567,PubMed,Bioavailability of Tea Polyphenols: A Key Factor in Understanding Their Mechanisms of Action In Vivo and Health Effects,"Yang M et al.",Journal of Agricultural and Food Chemistry,2025,10.1021/acs.jafc.4c09205,39920567,systematic review,unspecified tea,purified component,mixed polyphenols,other,no,no,yes,include,,Interpretation review
PMID_38938012,PubMed,Tea consumption and risk of all-cause cardiovascular disease and cancer mortality: a meta-analysis of thirty-eight prospective cohort data sets,"Kim Y et al.",Epidemiology and Health,2024,10.4178/epih.e2024056,38938012,meta-analysis,unspecified tea,tea infusion,whole extract,cardiovascular protection,no,no,no,include,,Human evidence anchor
PMID_40314930,PubMed,Effects of Tea (Camellia sinensis) or its Bioactive Compounds l-Theanine or l-Theanine plus Caffeine on Cognition Sleep and Mood in Healthy Participants: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,"Payne ER et al.",Nutrition Reviews,2025,10.1093/nutrit/nuaf054,40314930,meta-analysis,unspecified tea,purified component,multiple component groups,neuroprotection,no,no,no,include,,Human cognition evidence
PMID_39574401,PubMed,Tea Polyphenols Reduced Obesity by Modulating Gut Microbiota-SCFAs-Barrier and Inflammation in High-Fat Diet-Induced Mice,"Tian B et al.",Molecular Nutrition and Food Research,2024,10.1002/mnfr.202400685,39574401,animal study,unspecified tea,purified component,mixed polyphenols,anti-obesity,no,no,yes,include,,Mechanistic obesity/microbiota paper
PMID_38745351,PubMed,Gut Microbiota Mediate the Neuroprotective Effect of Oolong Tea Polyphenols in Cognitive Impairment Induced by Circadian Rhythm Disorder,"Song Z et al.",Journal of Agricultural and Food Chemistry,2024,10.1021/acs.jafc.4c01922,38745351,animal study,oolong tea,purified component,mixed polyphenols,neuroprotection,no,no,yes,include,,Cognition mechanism paper
PMID_39452088,PubMed,Harnessing the Power of Fermented Tea to Improve Gut Microbiota and Combat Obesity Epidemic,"Zhang R et al.",Biology,2024,10.3390/biology13100779,39452088,systematic review,dark/post-fermented tea,fermented beverage,mixed polyphenols,anti-obesity,yes,no,yes,include,,Fermented tea review
PMID_39732435,PubMed,Regular Consumption of Black Tea Kombucha Modulates the Gut Microbiota in Individuals with and without Obesity,"Costa MAC et al.",Journal of Nutrition,2025,10.1016/j.tjnut.2024.12.013,39732435,randomized controlled trial,black tea,fermented beverage,whole extract,gut microbiota modulation,yes,no,yes,include,,Human microbiome intervention
PMID_38430822,PubMed,A green tea extract confection decreases circulating endotoxin and fasting glucose by improving gut barrier function but without affecting systemic inflammation: A double-blind placebo-controlled randomized trial in healthy adults and adults with metabolic syndrome,"Zeng M et al.",Nutrition Research,2024,10.1016/j.nutres.2024.02.001,38430822,randomized controlled trial,green tea,tea extract,mixed polyphenols,metabolic improvement,no,yes,no,include,,Human metabolic intervention
PMID_38745671,PubMed,Green tea extract suppresses airway inflammation via oxidative stress-driven MAPKs/MMP-9 signaling in asthmatic mice and human airway epithelial cells,"Kim JW et al.",Frontiers in Immunology,2024,10.3389/fimmu.2024.1362404,38745671,animal study,green tea,tea extract,mixed polyphenols,anti-inflammatory,no,yes,no,include,,Primary anti-inflammatory study
PMID_38031409,PubMed,The effects of green tea extract supplementation on body composition obesity-related hormones and oxidative stress markers: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,"Asbaghi O et al.",British Journal of Nutrition,2024,10.1017/S000711452300260X,38031409,meta-analysis,green tea,tea extract,mixed polyphenols,anti-obesity,no,yes,no,include,,Human obesity/oxidative evidence
PMID_40160899,PubMed,Effects of green tea supplementation on antioxidant status and inflammatory markers in adults: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,"Asbaghi O et al.",British Journal of Nutrition,2025,10.1017/S0007114525000414,40160899,meta-analysis,green tea,tea extract,mixed polyphenols,antioxidant,no,yes,no,include,,Human antioxidant/inflammation evidence
PMID_40957830,PubMed,Bai Mao Tea Polysaccharides Induce Adipose Tissue Browning and Ameliorate Diet-Induced Obesity by Modulating Butyrate Production and Gut Microbiota Composition,"Tang H et al.",Journal of Agricultural and Food Chemistry,2025,10.1021/acs.jafc.5c06964,40957830,animal study,unspecified tea,purified component,tea polysaccharides,anti-obesity,no,no,yes,include,,Primary polysaccharide obesity paper
