record_id,paper_id,title,silver_tea_type,silver_component_group,silver_processing_step,silver_extraction_method,component_evidence_terms,processing_evidence_terms,extraction_evidence_terms,context_completeness_score,uncertainty_class,uncertainty_flags
PMID_41907215_GLM1,PMID_41907215,Epigallocatechin Gallate Influences in Acute Respiratory Distress Syndrome by Regulating Gut Microbiota: Current Research Status and Therapeutic Prospects.,green tea,catechins,,,epigallocatechin gallate; egcg,,,0.550,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record
PMID_41901054_GLM1,PMID_41901054,Association Between Selected Flavanols and Isoflavones and Precocious Puberty in Girls-A Scoping Review.,green tea,mixed polyphenols,,,polyphenols,,,0.550,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record
PMID_41899489_GLM1,PMID_41899489,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,unspecified tea,tea polysaccharides,,,tea polysaccharides; tps,,,0.300,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
PMID_41899489_GLM2,PMID_41899489,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,unspecified tea,tea polysaccharides,,,tea polysaccharides; tps,,,0.300,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only
PMID_41898599_GLM1,PMID_41898599,"Kombucha as a Bioactive Functional Beverage: Current Evidence, Production Challenges, and Future Perspectives.",fermented tea,mixed polyphenols,fermentation/oxidation,,phenolic,kombucha; fermentation; scoby,,0.800,low_uncertainty,review_summary_record; uncertain_effect_direction
PMID_41898599_GLM2,PMID_41898599,"Kombucha as a Bioactive Functional Beverage: Current Evidence, Production Challenges, and Future Perspectives.",fermented tea,mixed polyphenols,fermentation/oxidation,,phenolic,kombucha; fermentation; scoby,,0.800,moderate_uncertainty,review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41897706_GLM1,PMID_41897706,Modulatory Effects of Tea Components with Different Fermentation Degrees on Fluoride Bioavailability in Rats.,unspecified tea,theaflavins,fermentation/oxidation,,epigallocatechin gallate; egcg; theaflavins; thearubigins; tea polysaccharides; tps,fermentation,,0.550,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41888324_GLM1,PMID_41888324,"Valorization of ligustrum species: biosynthesis, metabolic engineering, and pharmacology of bioactive compounds.",unspecified tea,mixed polyphenols,,,flavonoids,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41884463_GLM1,PMID_41884463,Temperature regulates flavor and bioactivity in dark tea fermentation: Insights from an A spergillus tubingensis single-strain model.,dark tea,volatile compounds; mixed polyphenols,fermentation/oxidation,,volatile compounds; flavonoid,fermentation,,0.800,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41882045_GLM1,PMID_41882045,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",green tea,catechins,,,catechins; phenolic; phenolics,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41882045_GLM2,PMID_41882045,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",green tea,catechins,,,catechin; catechins; phenolic; phenolics,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41880967_GLM1,PMID_41880967,Targeted quantitative analysis and antioxidant activity reveal the quality characteristics of Chinese black teas from different regions.,black tea,theaflavins,,,epicatechin; thearubigins; theaflavins; thearubigin,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41868711_GLM1,PMID_41868711,Qing-brick tea alleviates metabolic dysfunction-associated fatty liver disease: involvement of AMPK/ACC and SREBP1/FAS pathways.,unspecified tea,catechins,,,epicatechin; catechin; catechins,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction
PMID_41863981_GLM1,PMID_41863981,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",unspecified tea,tea polysaccharides,,,catechin; polysaccharide; tea polysaccharides; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction
PMID_41863981_GLM2,PMID_41863981,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",unspecified tea,tea polysaccharides,,,catechin; polysaccharide; tea polysaccharides; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41863981_GLM3,PMID_41863981,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",unspecified tea,tea polysaccharides,,,catechin; polysaccharide; tea polysaccharides; polyphenols,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41863176_GLM1,PMID_41863176,Potential Role and Mechanisms of Epigallocatechin-3-Gallate in Colorectal Cancer.,green tea,catechins,,,egcg; polyphenol,,,0.550,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record; uncertain_effect_direction
PMID_41863176_GLM2,PMID_41863176,Potential Role and Mechanisms of Epigallocatechin-3-Gallate in Colorectal Cancer.,green tea,catechins,,,egcg; polyphenol,,,0.550,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed
PMID_41861686_GLM1,PMID_41861686,Large-leaf yellow tea oligosaccharides alleviate T2DM by promoting GLP-1 secretion and regulating intestinal mucosal barrier.,yellow tea,tea polysaccharides,enzymatic treatment,,tea polysaccharide; tea polysaccharides,enzymatic,,0.800,low_uncertainty,preclinical_only
PMID_41861686_GLM2,PMID_41861686,Large-leaf yellow tea oligosaccharides alleviate T2DM by promoting GLP-1 secretion and regulating intestinal mucosal barrier.,yellow tea,tea polysaccharides,enzymatic treatment,,tea polysaccharide; tea polysaccharides,enzymatic,,0.800,low_uncertainty,missing_named_microbiota; preclinical_only
PMID_41859366_GLM1,PMID_41859366,Identification of a unique tea germplasm exhibiting hyperaccumulation of trans-catechins and its molecular regulatory mechanism.,unspecified tea,caffeine,,,catechins; catechin; caffeine,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41858500_GLM1,PMID_41858500,Covalent modification of flaxseed protein isolate by polyphenols and characterization of the structural and functional properties of the conjugates.,unspecified tea,mixed polyphenols,,other extraction,polyphenols; polyphenol; extract,,extract,0.500,moderate_uncertainty,preclinical_only
PMID_41858500_GLM2,PMID_41858500,Covalent modification of flaxseed protein isolate by polyphenols and characterization of the structural and functional properties of the conjugates.,unspecified tea,mixed polyphenols,,other extraction,polyphenols; polyphenol; extract,,extract,0.500,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41855828_GLM1,PMID_41855828,Comparison of volatile organic compounds and antioxidant activity in Dendrobii Officinalis Flos under different drying methods.,unspecified tea,multiple component groups,,,,,,0.300,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; preclinical_only
PMID_41853609_GLM1,PMID_41853609,Effects of the flowering process on the metabolite profiles and bioactivities of Shaanxi Fu brick tea.,unspecified tea,caffeine,fermentation/oxidation,,caffeine; volatile compounds; polyphenols; flavonoids,fermentation,,0.550,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction
PMID_41853609_GLM2,PMID_41853609,Effects of the flowering process on the metabolite profiles and bioactivities of Shaanxi Fu brick tea.,unspecified tea,caffeine,fermentation/oxidation,,caffeine; volatile compounds; polyphenols; flavonoids,fermentation,,0.550,moderate_uncertainty,preclinical_only; uncertain_effect_direction
PMID_41853598_GLM2,PMID_41853598,From chemical characterization to functional validation: Screening of anti-hyperglycemic components and their action mechanisms in differentially fermented teas.,fermented tea,theaflavins,fermentation/oxidation,,theaflavins; theaflavin; polyphenols,fermented; fermentation,,0.800,low_uncertainty,preclinical_only
PMID_41853594_GLM1,PMID_41853594,Mutual interactions between HG-LG gellan gum and tea polyphenols: Concentration-dependent structural modulation and enhanced antioxidant stability.,unspecified tea,catechins,storage/aging,,epigallocatechin gallate; catechins; tps; polyphenols,storage,,0.550,moderate_uncertainty,preclinical_only
PMID_41839755_GLM1,PMID_41839755,Commercial kombucha beverages produced in Uruguay: physicochemical composition and antioxidant profile.,fermented tea,mixed polyphenols,fermentation/oxidation,aqueous extraction,polyphenols; phenolic; polyphenol,kombucha; scoby,infusion,1.000,low_uncertainty,preclinical_only
PMID_41839464_GLM1,PMID_41839464,Preparation and characterization of chitosan‑sodium alginate complex edible casings incorporated with tea polyphenols and their application in dry-cured sausages.,unspecified tea,mixed polyphenols,storage/aging,,polyphenols,storage,,0.550,moderate_uncertainty,preclinical_only; taxonomy_expansion_needed
PMID_41833670_GLM1,PMID_41833670,Postbiotic-assisted synthesis of cerium oxide nanocomposites functionalized with folic acid-chitosan and tea polyphenols for redox-regulated anticancer activity.,unspecified tea,mixed polyphenols,,,polyphenols; polyphenol,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only
PMID_41833670_GLM2,PMID_41833670,Postbiotic-assisted synthesis of cerium oxide nanocomposites functionalized with folic acid-chitosan and tea polyphenols for redox-regulated anticancer activity.,unspecified tea,mixed polyphenols,,,polyphenols; polyphenol,,,0.300,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed
PMID_41830022_GLM1,PMID_41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,green tea,catechins,,,catechin; catechins,,,0.550,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context
