record_id,paper_id,refinement_status,source_used,updated_fields,old_value,new_value,notes
PMID_39574401_R1,PMID_39574401,full_text_refined,PubMed abstract/snippet,"endpoint_label; mechanism_label; microbiota_taxon; host_phenotype","body weight gain and obesity-related phenotype reduction in HFD mice | gut barrier and inflammation modulation | taxa as reported | obesity-related phenotype","body weight gain liver/adipose accumulation and liver fat reduction in HFD mice | gut barrier preservation; TLR4 signaling inhibition; inflammatory cytokine suppression | Blautia; Faecalibaculum; Colidextribacter | obesity-related phenotype",Added named taxa and more specific anti-obesity/barrier/inflammation details
PMID_39574401_R2,PMID_39574401,full_text_refined,PubMed abstract/snippet,"endpoint_label; mechanism_label; microbiota_taxon; host_phenotype","gut microbiota and SCFA modulation in HFD mice | microbiota-SCFAs-barrier axis | taxa as reported | barrier and inflammation state","gut microbiota and SCFA modulation with barrier protection in HFD mice | G protein-coupled receptor activation; histone deacetylase inhibition; tight junction enhancement; barrier protection | Blautia; Faecalibaculum; Colidextribacter | intestinal barrier integrity and reduced inflammation state",Improved microbiota and barrier mechanism specificity
PMID_38745351_R1,PMID_38745351,full_text_refined,PubMed abstract,"mechanism_label; microbiota_taxon; microbial_metabolite; endpoint_label","gut microbiota-mediated neuroprotection | taxa as reported | microbial metabolites as reported | cognitive impairment improvement in circadian rhythm disorder model","microglia activation reduction; intestinal barrier protection; BDNF-PSD95-SYN synaptic plasticity support | Muribaculaceae; Clostridia_UCG-014; Desulfovibrio | LPS; SCFAs; glutamate | cognitive decline microglia activation and synaptic plasticity impairment in circadian rhythm disorder model",Added named taxa metabolites and synaptic mechanism markers
PMID_40957830_R1,PMID_40957830,full_text_refined,PubMed abstract + ACS snippet,"endpoint_label; mechanism_label; microbiota_taxon; host_phenotype","adipose browning and obesity amelioration in diet-induced obesity | butyrate-associated thermogenesis | taxa as reported | obesity-related phenotype","body weight reduction improved insulin sensitivity and adipose browning in diet-induced obesity | microbiota-butyrate-adipose axis; thermogenesis activation | Bifidobacterium species | obesity-related phenotype",Added Bifidobacterium and thermogenesis detail
PMID_40957830_R2,PMID_40957830,full_text_refined,PubMed abstract + ACS snippet,"endpoint_label; mechanism_label; microbiota_taxon; host_phenotype","butyrate production and gut microbiota composition shift | microbiota-butyrate-thermogenesis axis | taxa as reported | adipose browning","butyrate production and gut microbiota-driven adipose thermogenesis | butyrate-mediated adipose browning; PGC-1alpha/UCP1 thermogenic programming | Bifidobacterium species | adipose browning",Added thermogenic protein mechanism details
PMID_39255891_R1,PMID_39255891,abstract_refined,PubMed abstract,"endpoint_label; mechanism_label; host_phenotype","metabolic syndrome attenuation in HFD mice | microbiota-associated metabolic regulation | metabolic syndrome phenotype","body weight fat accumulation liver steatosis and dyslipidemia improvement in HFD mice | reduced pro-inflammatory cytokines; metabolic syndrome attenuation | metabolic syndrome phenotype",Added phenotype and cytokine detail while leaving taxa conservative
PMID_39255891_R2,PMID_39255891,abstract_refined,PubMed abstract,"endpoint_label; microbiota_taxon","gut microbiota modulation in metabolic syndrome model | taxa as reported","gut microbiota modulation linked to metabolic syndrome attenuation | taxa to be verified from full text",Marked taxa for full-text verification instead of placeholder
PMID_39732435_R1,PMID_39732435,abstract_refined,PubMed abstract + review snippet,"endpoint_label; microbiota_taxon; mechanism_label","gut microbiota modulation in individuals with and without obesity | taxa as reported | microbiota modulation","gut microbiota modulation in individuals with and without obesity with stronger effect in obesity | Bacteroidota; Akkermansiaceae; Subdoligranulum; Ruminococcus; Dorea | commensal enrichment in obese subgroup",Added human taxa shifts from PubMed/review snippet
PMID_38430822_R1,PMID_38430822,abstract_refined,PubMed abstract,"endpoint_label; dose_exposure; mechanism_label; host_phenotype","fasting glucose reduction and endotoxin reduction in adults | as reported in paper | gut barrier improvement | ","fasting glucose reduction and circulating endotoxin reduction in adults with gut-barrier improvement | decaffeinated catechin-rich green tea extract confection as reported | reduced small intestinal permeability; reduced gut inflammation | metabolic syndrome phenotype",Added barrier/glucose mechanism detail
PMID_38430822_R2,PMID_38430822,abstract_refined,PubMed abstract,"dose_exposure; mechanism_label; host_phenotype","as reported in paper | gut barrier improvement | ","decaffeinated catechin-rich green tea extract confection as reported | reduced gut inflammation without systemic cytokine change | systemic inflammation phenotype",Refined no-effect inflammation record
PMID_36449351_R1,PMID_36449351,abstract_refined,PubMed abstract,"endpoint_label; microbiota_taxon","obesity amelioration in high-fat diet mice | taxa as reported","obesity amelioration with enhanced adipocyte thermogenesis in high-fat diet mice | Dubosiella; Romboutsia",Added named taxa from abstract
PMID_36449351_R2,PMID_36449351,abstract_refined,PubMed abstract,"endpoint_label; microbiota_taxon","gut microbiota-dependent adipocyte thermogenesis mechanism | taxa as reported","gut microbiota-dependent adipocyte thermogenesis mechanism in obese mice | Dubosiella; Romboutsia",Added taxa-correlation refinement
PMID_39153277_R1,PMID_39153277,abstract_refined,PubMed abstract,"endpoint_label; mechanism_label; microbiota_taxon; microbial_metabolite","protection against NAFLD in mice | bile acid metabolism and microbiota regulation | taxa as reported | bile-acid-related metabolites","hepatic cholesterol accumulation and NAFLD progression reduction in mice | alternative bile acid synthesis activation; FXR-FGF15-FGFR4-ASBT suppression; FXR-SHP pathway modulation | Muribaculaceae; Pseudomonas; acterium_coprostanoligenes_group; Clostridiales; Lachnospiraceae_NK4A136_group; Delftia; Dubosiella; Romboutsia | conjugated bile acids; non-12OH bile acids",Added bile-acid pathway detail and taxa from PubMed abstract
PMID_39153277_R2,PMID_39153277,abstract_refined,PubMed abstract,"endpoint_label; mechanism_label; microbiota_taxon; microbial_metabolite","gut microbiota and bile acid metabolism modulation in mice | microbiota-bile acid axis | taxa as reported | bile-acid-related metabolites","gut microbiota and bile acid metabolism modulation in mice with BSH-related remodeling | bile salt hydrolase-related microbial remodeling; taurine-metabolism genera increase | Muribaculaceae; Pseudomonas; acterium_coprostanoligenes_group; Clostridiales; Lachnospiraceae_NK4A136_group; Delftia; Dubosiella; Romboutsia | conjugated bile acids; non-12OH bile acids",Added BSH/tauine-metabolism mechanism and taxa from PubMed abstract
PMID_39479919_R1,PMID_39479919,abstract_refined,PubMed abstract,"endpoint_label; mechanism_label; microbiota_taxon","oxidative stress reduction in aging mice | gut microbiota-associated oxidative stress regulation | taxa as reported","oxidative stress reduction and antioxidant enzyme restoration in aging mice | NF-kB suppression; antioxidant enzyme restoration; oxidative stress reduction | Firmicutes/Bacteroidota ratio; Lactobacillus",Added oxidative-marker and microbiota detail from PubMed abstract
PMID_39479919_R2,PMID_39479919,abstract_refined,PubMed abstract,"endpoint_label; mechanism_label; microbiota_taxon","microglial oxidative damage inhibition in aging mice | microglial protection via microbiota | taxa as reported","microglial activation and neuroinflammation reduction in aging mice | microglial activation reduction; neuroinflammation suppression | Firmicutes/Bacteroidota ratio; Lactobacillus",Added neuroinflammation and microbiota detail from PubMed abstract
