record_id,paper_id,activity_category,study_type,component_before,component_after,processing_before,processing_after,extraction_before,extraction_after,uncertainty_before,uncertainty_after,context_score_before,context_score_after,component_added,processing_added,extraction_added
PMID_37082776_GLM1,PMID_37082776,other,meta-analysis,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_37584203_GLM1,PMID_37584203,gut microbiota modulation,systematic review,mixed polyphenols,mixed polyphenols,fermentation/oxidation,fermentation/oxidation,,,moderate_uncertainty,moderate_uncertainty,0.800,0.800,false,false,false
PMID_37584203_GLM2,PMID_37584203,other,systematic review,mixed polyphenols,mixed polyphenols,fermentation/oxidation,fermentation/oxidation,,,moderate_uncertainty,moderate_uncertainty,0.800,0.800,false,false,false
PMID_37584203_GLM3,PMID_37584203,gut microbiota modulation,systematic review,mixed polyphenols,mixed polyphenols,fermentation/oxidation,fermentation/oxidation,,,moderate_uncertainty,moderate_uncertainty,0.800,0.800,false,false,false
PMID_38031409_GLM1,PMID_38031409,anti-obesity,meta-analysis,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.750,0.750,false,false,false
PMID_38031409_GLM2,PMID_38031409,antioxidant,meta-analysis,whole extract,whole extract,,,other extraction,other extraction,low_uncertainty,low_uncertainty,0.750,0.750,false,false,false
PMID_38242204_AUTO1,PMID_38242204,other,randomized controlled trial,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_38501370_GLM1,PMID_38501370,gut microbiota modulation,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38501370_GLM2,PMID_38501370,gut microbiota modulation,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38501370_GLM3,PMID_38501370,gut microbiota modulation,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38503153_GLM1,PMID_38503153,anti-inflammatory,meta-analysis,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_38520117_GLM1,PMID_38520117,anti-obesity,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38520117_GLM2,PMID_38520117,antioxidant,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38521977_GLM1,PMID_38521977,cardiovascular protection,cohort study,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38571923_GLM2,PMID_38571923,anti-obesity,systematic review,caffeine,caffeine,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38622917_GLM1,PMID_38622917,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38622917_GLM2,PMID_38622917,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38622917_GLM3,PMID_38622917,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38695344_GLM1,PMID_38695344,other,animal study,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_38719093_AUTO1,PMID_38719093,anti-obesity,randomized controlled trial,multiple component groups,multiple component groups,,,other extraction,other extraction,high_uncertainty,high_uncertainty,0.500,0.500,false,false,false
PMID_38740187_GLM1,PMID_38740187,anti-inflammatory,cohort study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38757229_GLM1,PMID_38757229,anti-obesity,randomized controlled trial,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_38757229_GLM2,PMID_38757229,anti-inflammatory,randomized controlled trial,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_38764154_GLM1,PMID_38764154,antioxidant,randomized controlled trial,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_38764154_GLM3,PMID_38764154,anti-inflammatory,randomized controlled trial,multiple component groups,multiple component groups,,matcha production,,,moderate_uncertainty,moderate_uncertainty,0.550,0.800,false,true,false
PMID_38778045_GLM1,PMID_38778045,anti-obesity,cohort study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_38778685_AUTO1,PMID_38778685,anti-obesity,cohort study,multiple component groups,multiple component groups,,,other extraction,other extraction,high_uncertainty,high_uncertainty,0.500,0.500,false,false,false
PMID_38781878_AUTO1,PMID_38781878,antioxidant,unspecified,multiple component groups,multiple component groups,processing category contrast,processing category contrast,other extraction,other extraction,high_uncertainty,high_uncertainty,0.750,0.750,false,false,false
PMID_38820660_GLM1,PMID_38820660,gut microbiota modulation,systematic review,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_38848972_GLM1,PMID_38848972,gut microbiota modulation,animal study,catechins,catechins,storage/aging,storage/aging,other extraction,other extraction,low_uncertainty,low_uncertainty,1.000,1.000,false,false,false
PMID_38848972_GLM2,PMID_38848972,other,animal study,catechins,catechins,storage/aging,storage/aging,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,1.000,1.000,false,false,false
PMID_38852447_GLM1,PMID_38852447,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,low_uncertainty,low_uncertainty,0.550,0.550,false,false,false
PMID_38852447_GLM2,PMID_38852447,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_38852447_GLM3,PMID_38852447,gut microbiota modulation,animal study,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_38878905_GLM1,PMID_38878905,anti-obesity,meta-analysis,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.750,0.750,false,false,false
PMID_38897845_GLM1,PMID_38897845,other,cohort study,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_38936303_GLM2,PMID_38936303,metabolic improvement,randomized controlled trial,catechins,catechins,,,,,moderate_uncertainty,moderate_uncertainty,0.550,0.550,false,false,false
PMID_39014963_GLM1,PMID_39014963,cardiovascular protection,randomized controlled trial,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39014963_GLM3,PMID_39014963,neuroprotection,randomized controlled trial,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39033639_GLM1,PMID_39033639,other,unspecified,catechins,catechins,,,aqueous extraction; other extraction,aqueous extraction; other extraction,moderate_uncertainty,moderate_uncertainty,0.750,0.750,false,false,false
PMID_39047823_GLM1,PMID_39047823,gut microbiota modulation,animal study,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39047823_GLM2,PMID_39047823,gut microbiota modulation,animal study,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39050670_GLM1,PMID_39050670,neuroprotection,systematic review,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39092514_GLM1,PMID_39092514,gut microbiota modulation,systematic review,mixed polyphenols,mixed polyphenols,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_39092514_GLM2,PMID_39092514,other,systematic review,mixed polyphenols,mixed polyphenols,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39096025_GLM2,PMID_39096025,other,systematic review,theaflavins,theaflavins,enzymatic treatment,enzymatic treatment,,,moderate_uncertainty,moderate_uncertainty,0.800,0.800,false,false,false
PMID_39096274_GLM1,PMID_39096274,cardiovascular protection,cohort study,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_39115505_AUTO1,PMID_39115505,anti-inflammatory,randomized controlled trial,multiple component groups,multiple component groups,,,other extraction,other extraction,high_uncertainty,high_uncertainty,0.500,0.500,false,false,false
PMID_39125321_GLM1,PMID_39125321,metabolic improvement,cohort study,multiple component groups,multiple component groups,fermentation/oxidation,fermentation/oxidation,,,moderate_uncertainty,moderate_uncertainty,0.800,0.800,false,false,false
PMID_39153160_GLM1,PMID_39153160,gut microbiota modulation,animal study,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39153160_GLM3,PMID_39153160,gut microbiota modulation,animal study,whole extract,whole extract,,,other extraction,other extraction,moderate_uncertainty,moderate_uncertainty,0.500,0.500,false,false,false
PMID_39222688_GLM1,PMID_39222688,anti-inflammatory,cohort study,theaflavins,theaflavins,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39256061_GLM1,PMID_39256061,gut microbiota modulation,randomized controlled trial,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39256061_GLM2,PMID_39256061,gut microbiota modulation,randomized controlled trial,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_39256061_GLM3,PMID_39256061,gut microbiota modulation,randomized controlled trial,multiple component groups,multiple component groups,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
PMID_39256541_GLM1,PMID_39256541,anti-obesity,cohort study,multiple component groups,multiple component groups,,,,,high_uncertainty,high_uncertainty,0.300,0.300,false,false,false
PMID_39287934_GLM1,PMID_39287934,metabolic improvement,cohort study,caffeine,caffeine,,,,,moderate_uncertainty,moderate_uncertainty,0.300,0.300,false,false,false
