audit_id,record_id,paper_id,annotator_id,confidence_score,field_activity_category,field_endpoint_label,field_study_type,field_evidence_level,field_effect_direction,field_mechanism_label,field_microbiota_taxon,field_microbial_metabolite,field_host_phenotype,paper_scope_decision,overall_record_decision,major_issue_type,corrected_activity_category,corrected_endpoint_label,corrected_study_type,corrected_evidence_level,corrected_effect_direction,corrected_mechanism_label,corrected_microbiota_taxon,corrected_microbial_metabolite,corrected_host_phenotype,reviewer_id,review_date,comments
AUDIT_001,PMID_41142253_GLM1,PMID_41142253,glm5_nvidia,0.70,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_002,PMID_41695820_GLM2,PMID_41695820,glm5_nvidia,0.75,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_003,PMID_40878851_GLM1,PMID_40878851,glm5_nvidia,0.75,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_004,PMID_39745600_GLM1,PMID_39745600,glm5_nvidia,0.70,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_005,PMID_41163054_GLM1,PMID_41163054,glm5_nvidia,0.75,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_006,PMID_40358678_GLM3,PMID_40358678,glm5_nvidia,0.60,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_007,PMID_41695820_GLM1,PMID_41695820,glm5_nvidia,0.75,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_008,PMID_41490780_GLM1,PMID_41490780,glm5_nvidia,0.60,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_009,PMID_39954639_GLM2,PMID_39954639,glm5_nvidia,0.75,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_010,PMID_41554089_GLM3,PMID_41554089,glm5_nvidia,0.50,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_011,PMID_41290504_GLM1,PMID_41290504,glm5_nvidia,0.85,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_012,PMID_39976450_GLM2,PMID_39976450,glm5_nvidia,0.85,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_013,PMID_41308222_GLM2,PMID_41308222,glm5_nvidia,0.85,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_014,PMID_41798939_GLM3,PMID_41798939,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_015,PMID_41621019_GLM3,PMID_41621019,glm5_nvidia,0.85,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_016,PMID_41762517_GLM2,PMID_41762517,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_017,PMID_41828893_GLM3,PMID_41828893,glm5_nvidia,0.85,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_018,PMID_41828808_GLM1,PMID_41828808,glm5_nvidia,0.80,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_019,PMID_41226835_GLM1,PMID_41226835,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_020,PMID_41010475_GLM3,PMID_41010475,glm5_nvidia,0.85,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_021,PMID_39807528_GLM1,PMID_39807528,glm5_nvidia,0.90,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_022,PMID_39643357_GLM1,PMID_39643357,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_023,PMID_40215650_GLM3,PMID_40215650,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_024,PMID_40509019_GLM3,PMID_40509019,glm5_nvidia,0.80,,,,,,,,,,,,,,,,,,,,,,,,
AUDIT_025,PMID_39047823_GLM1,PMID_39047823,glm5_nvidia,0.95,,,,,,,,,,,,,,,,,,,,,,,,
