record_id,paper_id,title,silver_tea_type,silver_component_group,silver_processing_step,silver_extraction_method,uncertainty_class,uncertainty_flags,abstract_available
PMID_41907215_GLM1,PMID_41907215,Epigallocatechin Gallate Influences in Acute Respiratory Distress Syndrome by Regulating Gut Microbiota: Current Research Status and Therapeutic Prospects.,green tea,catechins,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,true
PMID_41899489_GLM1,PMID_41899489,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only,true
PMID_41899489_GLM2,PMID_41899489,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only,true
PMID_41888324_GLM1,PMID_41888324,"Valorization of ligustrum species: biosynthesis, metabolic engineering, and pharmacology of bioactive compounds.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41882045_GLM1,PMID_41882045,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41882045_GLM2,PMID_41882045,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41863981_GLM1,PMID_41863981,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction,true
PMID_41863981_GLM2,PMID_41863981,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
PMID_41863981_GLM3,PMID_41863981,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41859366_GLM1,PMID_41859366,Identification of a unique tea germplasm exhibiting hyperaccumulation of trans-catechins and its molecular regulatory mechanism.,unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
