record_id,paper_id,processing_present,extraction_present,component_present,tea_type,material_form,component_group,processing_step,extraction_method,compound_name,cultivar,origin,evidence_terms,raw_context_phrase,confidence_score,reasoning_short,patch_status,patch_uncertainty_flags
PMID_38571923_GLM2,PMID_38571923,false,false,true,unspecified tea,tea infusion,caffeine,,,caffeine,,,tea consumption;caffeine intake,moderate coffee and tea consumption;High caffeine intake in pregnancy,0.90,Review paper discusses tea and caffeine as general dietary exposures without reporting specific processing or extraction methods; component and material form inferred from beverage context.,llm_extracted,review paper;no primary tea material
PMID_38740187_GLM1,PMID_38740187,false,false,true,unspecified tea,unspecified material,mixed polyphenols,,,polyphenols; phenolic acids; flavonoids,,UK,polyphenol intake; 1 cup of tea or coffee per day,"polyphenol intake was assessed in the UK-based Airwave cohort; nonalcoholic beverages, vegetables, and fruit were the primary sources; 1 cup of tea or coffee per day",0.70,Epidemiological study estimates polyphenol intake from diet; tea mentioned only as a dietary source unit without processing or extraction details.,llm_extracted,tea mentioned as dietary source only; no direct tea material analysis
PMID_38778045_GLM1,PMID_38778045,false,false,false,green tea,tea infusion,,,,,,,black or green tea; flavonoid-rich foods; flavonoid subclasses,higher intakes of black or green tea... significantly associated with 21%... lower T2D risk; Tea (black and green) intakes were capped at a maximum of 4 servings/day,0.90,"Epidemiological cohort study using dietary assessments; no tea processing, extraction, or component isolation performed; tea intake estimated from USDA databases.",llm_extracted,
PMID_39050670_GLM1,PMID_39050670,false,false,false,,,,,,,,,tea intake; brain image-derived phenotypes,"there were causal relationships between alcohol consumption, tea intake, coffee consumption, smoking, educational attainment, and certain BIDPs",0.95,"Review paper reports only 'tea intake' as lifestyle factor; no tea processing, extraction, or component details provided in title, abstract, or methods text.",llm_extracted,
PMID_39096274_GLM1,PMID_39096274,false,false,false,unspecified tea,unspecified material,,,,,,,Mg-rich diet;tea;cardiovascular disease,"A Mg-rich diet score was created that included servings of whole grain products, nuts, vegetables, fruit, legumes, coffee, and tea.",0.90,"Tea is mentioned only as a general dietary component in a food frequency questionnaire with no processing, extraction, or specific component details reported.",llm_extracted,
PMID_39222688_GLM1,PMID_39222688,false,false,true,unspecified tea,purified component,theaflavins,,,theaflavins; thearubigins,,,"theaflavins + thearubigins; flavonoid-rich foods, namely, tea","moderate intakes of... theaflavins + thearubigins; Promoting intakes of healthy flavonoid-rich foods, namely, tea",0.85,Study examines dietary intake of flavonoid subclasses including theaflavins/thearubigins from tea; no tea processing or extraction methods reported.,llm_extracted,dietary intake study; no direct tea material handling
PMID_39256541_GLM1,PMID_39256541,false,false,false,unspecified tea,tea infusion,,,,,,,tea consumption,"tea consumption (frequency, type, amount of tea consumed in a typical day, duration and preference for tea temperature)",0.90,"Epidemiological survey collecting self-reported tea consumption data; no tea processing, extraction, or specific component analysis reported.",llm_extracted,
PMID_39350601_GLM1,PMID_39350601,false,false,true,green tea,unspecified material,catechins,,,catechins,,,green tea catechins;green tea ingestion,green tea catechins have attracted attention due to their thermogenic properties;effect of green tea ingestion coupled with exercise training,0.85,"Title and abstract specify green tea and catechins as the active component, but no tea processing or extraction methods are described for the meta-analysis source material.",llm_extracted,material form unspecified;intervention form varies across included studies
PMID_39405832_GLM1,PMID_39405832,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols,,,tea polyphenols; derived from natural tea leaves,"Tea polyphenols, derived from natural tea leaves; 3% tea polyphenols (effective content of 6 g/t)",0.85,"Methods text identifies tea polyphenols as a compound antioxidant component but provides no details on tea type, processing, or extraction methods.",llm_extracted,tea source unspecified
PMID_39405832_GLM2,PMID_39405832,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols; propyl gallate,,,tea polyphenols; antioxidant; Nrf2/ARE pathway,"Tea polyphenols, derived from natural tea leaves; basal diet supplemented with 3% tea polyphenols (effective content of 6 g/t)",0.90,"Methods specify tea polyphenols as a supplemented component but provide no details on tea type, processing, or extraction methods.",llm_extracted,tea type unspecified
PMID_39405832_GLM3,PMID_39405832,false,false,true,unspecified tea,purified component,mixed polyphenols,,,tea polyphenols; propyl gallate,,,tea polyphenols,"Tea polyphenols, derived from natural tea leaves; 3% tea polyphenols (effective content of 6 g/t)",0.90,"Methods confirm use of tea polyphenols as a compound antioxidant component but provide no details on tea type, processing, or extraction methods.",llm_extracted,
PMID_39420779_GLM1,PMID_39420779,false,false,false,green tea,unspecified material,,,,,,,green tea,green tea (one item),0.95,"Epidemiological study using FFQ for dietary intake; green tea reported as food group without processing, extraction, or component details.",llm_extracted,
