processing_step,activity_category,evidence_level,study_type,record_id,paper_id,uncertainty_class
decaffeination,anti-obesity,evidence_synthesis_nonquantitative,systematic review,PMID_41901054_GLM1,PMID_41901054,moderate_uncertainty
crushing/grinding/sieving,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41899489_GLM1,PMID_41899489,low_uncertainty
crushing/grinding/sieving,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41899489_GLM2,PMID_41899489,low_uncertainty
fermentation/oxidation,antioxidant,evidence_synthesis_nonquantitative,systematic review,PMID_41898599_GLM1,PMID_41898599,low_uncertainty
fermentation/oxidation,other,evidence_synthesis_nonquantitative,systematic review,PMID_41898599_GLM2,PMID_41898599,moderate_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41897706_GLM1,PMID_41897706,moderate_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41884463_GLM1,PMID_41884463,moderate_uncertainty
cleaning,other,preclinical_in_vivo,animal study,PMID_41882045_GLM1,PMID_41882045,moderate_uncertainty
drying,other,preclinical_in_vivo,animal study,PMID_41882045_GLM1,PMID_41882045,moderate_uncertainty
crushing/grinding/sieving,other,preclinical_in_vivo,animal study,PMID_41882045_GLM1,PMID_41882045,moderate_uncertainty
cleaning,antioxidant,preclinical_in_vivo,animal study,PMID_41882045_GLM2,PMID_41882045,low_uncertainty
drying,antioxidant,preclinical_in_vivo,animal study,PMID_41882045_GLM2,PMID_41882045,low_uncertainty
crushing/grinding/sieving,antioxidant,preclinical_in_vivo,animal study,PMID_41882045_GLM2,PMID_41882045,low_uncertainty
compressed/brick tea processing,metabolic improvement,preclinical_in_vivo,animal study,PMID_41868711_GLM1,PMID_41868711,low_uncertainty
enzymatic treatment,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41861686_GLM1,PMID_41861686,low_uncertainty
enzymatic treatment,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41861686_GLM2,PMID_41861686,low_uncertainty
drying,other,preclinical_in_vivo,animal study,PMID_41859366_GLM1,PMID_41859366,moderate_uncertainty
crushing/grinding/sieving,other,preclinical_in_vivo,animal study,PMID_41859366_GLM1,PMID_41859366,moderate_uncertainty
fermentation/oxidation,other,preclinical_in_vivo,animal study,PMID_41853609_GLM1,PMID_41853609,moderate_uncertainty
fermentation/oxidation,metabolic improvement,preclinical_in_vivo,animal study,PMID_41853609_GLM2,PMID_41853609,moderate_uncertainty
fermentation/oxidation,metabolic improvement,preclinical_in_vivo,animal study,PMID_41853598_GLM2,PMID_41853598,low_uncertainty
storage/aging,antioxidant,preclinical_in_vivo,animal study,PMID_41853594_GLM1,PMID_41853594,moderate_uncertainty
fermentation/oxidation,antioxidant,preclinical_in_vivo,animal study,PMID_41839755_GLM1,PMID_41839755,low_uncertainty
storage/aging,other,preclinical_in_vivo,animal study,PMID_41839464_GLM1,PMID_41839464,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41829159_GLM1,PMID_41829159,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41829159_GLM2,PMID_41829159,low_uncertainty
storage/aging,metabolic improvement,human_interventional,randomized controlled trial,PMID_41820002_GLM1,PMID_41820002,moderate_uncertainty
fermentation/oxidation,gut microbiota modulation,preclinical_in_vivo,animal study,PMID_41798939_GLM1,PMID_41798939,low_uncertainty
