source_id,target_id,edge_type,provenance
paper:PMID_36449351,record:PMID_36449351_R1,HAS_RECORD,PMID_36449351
record:PMID_36449351_R1,tea_type:dark_post_fermented_tea,HAS_TEA_TYPE,PMID_36449351
record:PMID_36449351_R1,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_36449351
record:PMID_36449351_R1,activity:anti_obesity,SUPPORTS_ACTIVITY,PMID_36449351
record:PMID_36449351_R1,study_type:animal_study,HAS_STUDY_TYPE,PMID_36449351
record:PMID_36449351_R1,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_36449351
record:PMID_36449351_R1,mechanism:gut_microbiota_dependent_thermogenesis,ACTS_VIA,PMID_36449351
record:PMID_36449351_R1,microbiota:dubosiella_romboutsia,MODULATES_MICROBIOTA,PMID_36449351
record:PMID_36449351_R1,phenotype:obesity_related_phenotype,ASSOCIATED_HOST_PHENOTYPE,PMID_36449351
paper:PMID_36449351,record:PMID_36449351_R2,HAS_RECORD,PMID_36449351
record:PMID_36449351_R2,tea_type:dark_post_fermented_tea,HAS_TEA_TYPE,PMID_36449351
record:PMID_36449351_R2,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_36449351
record:PMID_36449351_R2,activity:gut_microbiota_modulation,SUPPORTS_ACTIVITY,PMID_36449351
record:PMID_36449351_R2,study_type:animal_study,HAS_STUDY_TYPE,PMID_36449351
record:PMID_36449351_R2,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_36449351
record:PMID_36449351_R2,mechanism:microbiota_thermogenesis_axis,ACTS_VIA,PMID_36449351
record:PMID_36449351_R2,microbiota:dubosiella_romboutsia,MODULATES_MICROBIOTA,PMID_36449351
record:PMID_36449351_R2,phenotype:adipocyte_thermogenesis,ASSOCIATED_HOST_PHENOTYPE,PMID_36449351
record:PMID_38745671_R2,microbiota:oxidative_stress_driven_signaling_reduction,MODULATES_MICROBIOTA,PMID_38745671
paper:PMID_39153277,record:PMID_39153277_R1,HAS_RECORD,PMID_39153277
record:PMID_39153277_R1,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_39153277
record:PMID_39153277_R1,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_39153277
record:PMID_39153277_R1,activity:metabolic_improvement,SUPPORTS_ACTIVITY,PMID_39153277
record:PMID_39153277_R1,study_type:animal_study,HAS_STUDY_TYPE,PMID_39153277
record:PMID_39153277_R1,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_39153277
record:PMID_39153277_R1,mechanism:alternative_bile_acid_synthesis_activation,ACTS_VIA,PMID_39153277
record:PMID_39153277_R1,mechanism:fxr_fgf15_fgfr4_asbt_suppression,ACTS_VIA,PMID_39153277
record:PMID_39153277_R1,mechanism:fxr_shp_pathway_modulation,ACTS_VIA,PMID_39153277
record:PMID_39153277_R1,microbiota:muribaculaceae_pseudomonas_acterium_coprostanoligenes_group_clostridiales_lachnospiraceae_nk4a136_group_delftia_dubosiella_romboutsia,MODULATES_MICROBIOTA,PMID_39153277
microbiota:muribaculaceae_pseudomonas_acterium_coprostanoligenes_group_clostridiales_lachnospiraceae_nk4a136_group_delftia_dubosiella_romboutsia,metabolite:conjugated_bile_acids_non_12oh_bile_acids,LINKS_TO_METABOLITE,PMID_39153277
record:PMID_39153277_R1,phenotype:nafld_phenotype,ASSOCIATED_HOST_PHENOTYPE,PMID_39153277
metabolite:conjugated_bile_acids_non_12oh_bile_acids,phenotype:nafld_phenotype,AFFECTS_HOST_PHENOTYPE,PMID_39153277
paper:PMID_39153277,record:PMID_39153277_R2,HAS_RECORD,PMID_39153277
record:PMID_39153277_R2,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_39153277
record:PMID_39153277_R2,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_39153277
record:PMID_39153277_R2,activity:gut_microbiota_modulation,SUPPORTS_ACTIVITY,PMID_39153277
record:PMID_39153277_R2,study_type:animal_study,HAS_STUDY_TYPE,PMID_39153277
record:PMID_39153277_R2,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_39153277
record:PMID_39153277_R2,mechanism:bile_salt_hydrolase_related_microbial_remodeling,ACTS_VIA,PMID_39153277
record:PMID_39153277_R2,mechanism:taurine_metabolism_genera_increase,ACTS_VIA,PMID_39153277
