pmid,query_ids,title,abstract,authors,journal,year,pubdate,doi,publication_types,mesh_terms,keywords
41914205,Q2,Altered Metabolite Profiling and Gene Expression During Adventitious Root Regeneration From Tea Stem Cuttings: Potential Roles in Growth and Defense.,"As the most widely used tea propagation method, the whole process of root initiation and plantlet formation from tea stem cuttings is still not fully understood regarding its effects on tea plant stress, metabolism, and nutritional value. Through transcriptome analysis and targeted metabolite profiling of adventitious roots (AR) at different stages of regeneration and growth derived from tea stem nodal cuttings, we showed that flavonol content increased from low levels during the AR initiation (R1) and appearance (R2) stages to the elongation (R3) and expansion (R4) stages. In contrast, catechins content decreased during these stages. Theanine content increased from low levels at AR initiation stage R1 to higher levels at AR appearance and growth stages R2 and R3, and slightly decreased at the expansion stage R4. Caffeine content continuously decreased as AR grew, reaching its lowest at stages R3 and R4. The expression patterns of key metabolic genes (CsANS1, CsANR1, CsLAR1, CsFLS4, CsTCS4, CsTSI, CsAlaDC, CsAAT3) associated with these pathways were consistent with the observed metabolite profiles. The regulator genes related to AR development and growth or hormone signaling were also analyzed with regards to their roles in the regulation of AR growth and development and secondary metabolism during plantlet establishment. This study provides fresh insights into targeted metabolite changes and metabolic pathways during AR emergence, appearance, growth, and expansion, leading to the establishment of plantlets derived from stem cuttings. These findings lay a foundation for better understanding of tea AR architecture formation, nutrient acquisition capacity, connecting with the stem tip growth, and tea-specific secondary metabolism and nutritional composition in tea plants.",Yu S; Liu J; Zhou J; Liu H; Peng A; Li S; Song L; Zhao J,Physiologia plantarum,2026,2026 Mar-Apr,10.1111/ppl.70849,Journal Article,,
41911645,Q2,Epigallocatechin gallate alleviates intervertebral disc degeneration by suppressing ferroptosis-driven innate immune activation in nucleus pulposus cells.,"BACKGROUND: Intervertebral disc degeneration (IDD) is the main reason for lower back pain, it has a vicious circle that ECM degradation, inflammation, and cell death. Ferroptosis is a kind of iron-reliant regulated cell death brought about by lipid peroxidation, it has come to be a major player in the loss of nucleus pulposus (NP) cells. Importantly, ferroptosis releases DAMPs that promote local sterile inflammation, creating a positive feedback loop of pathogenesis. Epigallocatechin gallate (EGCG) which is a major component of green tea has anti-inflammatory and antioxidant effects, however, whether it has a potential to target ferroptosis and inflammatory signaling in IDD is unknown. METHODS: An in vitro model of LPS-stimulated rat NP cells, we studied the impact of EGCG on the viability, inflammation (IL-1β, IL-6), ECM metabolism (COL2A1, ACAN), and ferroptosis markers (GPX4, SLC7A11, ACSL4, LPCAT3). ROS, GSH, MDA, mitochondrial ultrastructure. In vivo therapeutic effect was assessed by histological examination (H & E, Safranin O - Fast Green) and immunofluorescence in rat needle - puncture IDD model. Mechanisms were worked out via RNA-seq and Western blot. RESULTS: EGCG protected NP cells from LPS - induced injury. Then, it lessened inflammatory cytokine creation; then, it did result in anabolic ECM gene expression, and also it sternly put a stop to ferroptosis. This was reflected in reduced iron loading, reduced lipid peroxidation (reduced MDA, increased GSH), and reversed expression of ferroptosis related proteins (upregulated GPX4, SLC7A11; downregulated ACSL4, LPCAT3). EGCG preserved normal mt morphology. In vivo,EGCG improved the degeneration of the disc and kept NP tissue architecture, ECM component expression was also upregulated. Mechanistically, RNA-seq and biochemical analysis found out that EGCG's protection was caused by blocking the MAPK signaling pathway, a central control center for inflammation and ferroptosis. CONCLUSION: From our conclusion, in IDD, it was observed that the protection offered by EGCG was mainly inflammation and Ferrip-tosis of NP cells to avoid the process of MAPK pathway. Collectively, these results indicate that EGCG ameliorates IDD by attenuating inflammation and ferroptosis in NP cells, primarily through inhibition of the MAPK signaling pathway.",Lu S; Liu J; Sheng J; Wang R; Zhao Y; Liu Y,International immunopharmacology,2026,2026 Mar 29,10.1016/j.intimp.2026.116559,Journal Article,,
41907215,Q1;Q2,Epigallocatechin Gallate Influences in Acute Respiratory Distress Syndrome by Regulating Gut Microbiota: Current Research Status and Therapeutic Prospects.,"Acute respiratory distress syndrome (ARDS) is a life-threatening condition characterized by high mortality, with its pathogenesis involving multiple factors, including inflammatory responses, oxidative stress, and immune dysregulation. However, current clinical interventions remain limited. Recently, the ""gut-lung axis""-the interplay between gut microbiota and lung diseases-has gained significant attention, offering new perspectives for ARDS prevention and treatment. Epigallocatechin gallate (EGCG), the primary bioactive compound in green tea, exhibits distinct anti-inflammatory, antioxidant, and microbiota-modulating properties. EGCG shows promise in ARDS therapy by restoring gut homeostasis, enhancing barrier function, modulating immune responses, and influencing microbial metabolites. However, the precise mechanisms underlying its effects and its clinical applicability warrant further exploration. This review examines the molecular mechanisms through which EGCG modulates ARDS by regulating gut microbiota and considers its potential as a novel therapeutic approach, offering valuable theoretical and practical insights for future clinical applications.",Fan S; Ren Y; Ma N; Fan X; Yin G; Liang Y; Luo Y; Deng Y; Tang J; Luo D; Fan X,Journal of inflammation research,2026,2026,10.2147/JIR.S556609,Journal Article; Review,,
41901054,Q1,Association Between Selected Flavanols and Isoflavones and Precocious Puberty in Girls-A Scoping Review.,"Background/Objectives: Precocious puberty in girls currently appears to be one of the main problems in pediatric endocrine gynecology. Early onset of menstruation (EOM) means that the age at which the first menstruation occurs is lower than the average/median for the population, which ranges from 12 to 13 years and depends primarily on ethnic origin. Depending on age and severity of symptoms, these disorders negatively affect girls' quality of life in many areas, including school life, family relationships, and everyday life. Methods: This article provides a scoping review summarizing scientific evidence from human studies on the association between substances derived from green tea (flavanols) and soy (isoflavones) and precocious puberty in girls. Results: Despite the relatively small number of girls enrolled in the studies, available scientific evidence from randomized controlled trials (RCTs) suggests that polyphenols from decaffeinated green tea (DGTP) may contribute to lowering the age of first menstruation in girls living with obesity. The effect of soy isoflavones or soy in the context of premature menstruation in girls is unclear. Most studies report that it may have no effect on the age of first menstruation, while individual studies suggest that very early exposure to soy (< 4 months of age) may result in earlier puberty, and others suggest that higher consumption of soy isoflavones delays this process. Conclusions: Further well-designed intervention studies in humans are needed to better understand the endocrine and metabolic relationships regarding the role and importance of specific polyphenols in the pathogenic mechanisms of the development and treatment of precocious puberty in girls.",Michońska I; Serwin A; Dereń K,Nutrients,2026,2026 Mar 10,10.3390/nu18060879,Journal Article; Scoping Review; Review,,
41899489,Q2,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,"Non-alcoholic fatty liver disease (NAFLD) is the most common chronic liver disease and a global public health concern, for which there is currently no effective method to inhibit its progression. The pathogenesis of NAFLD is related to hepatic lipid metabolism disorders and liver inflammation. Previous studies have shown that tea polysaccharides (TPS) have the ability to regulate lipid metabolism and control inflammation. This study aimed to observe the effect of TPS on ameliorating NAFLD in a mouse model and to reveal its underlying mechanisms. In the current study, male C57BL/6J mice were fed a high-fat diet and administered 100 mg/kg TPS daily by gavage for 14 weeks. Then, liver injury indicators and macrophage polarization markers were detected. The results revealed that TPS could significantly ameliorate the progression of NAFLD and decrease liver injury indicators. Moreover, we found that treatment of NAFLD model mice with TPS could skew liver macrophages polarization from M1 to M2 type, which inhibited pro-inflammatory cytokines production and liver inflammation. Mechanistically, TPS cannot directly regulate the polarization of liver macrophages, but instead promotes the production of butyric acid by gut microbiota, which in turn regulates macrophage polarization. These findings suggest that TPS ameliorates NAFLD-associated inflammation by modulating the gut-liver axis and promoting M2 macrophage polarization, laying the foundation for the potential of TPS in the development of health foods for NAFLD.",Liu D; Li A; Li P,Current issues in molecular biology,2026,2026 Mar 23,10.3390/cimb48030338,Journal Article,,
41898599,Q1;Q4,"Kombucha as a Bioactive Functional Beverage: Current Evidence, Production Challenges, and Future Perspectives.","Kombucha is a beverage obtained through the fermentation of tea leaves by a symbiotic culture of bacteria and yeast called SCOBY. This beverage is popularly known for the potential health benefits associated with its consumption, which is the main reason for its commercial expansion over the last century. These potential benefits are linked to the presence of a wide variety of bioactive compounds, notably phenolic compounds and organic acids. This composition varies significantly depending on the fermentation conditions, which in turn modifies the beverage's bioactive properties (i.e., antioxidant capacity or antimicrobial properties, among others). For this reason, the most recent advances in kombucha production are geared towards achieving standardized production, including strategies for enhancing bioactive content and fortification with functional ingredients. All these advances should satisfy quality control and regulatory compliance. However, despite the growing scientific and commercial interest in kombucha, current knowledge remains fragmented across different disciplines, highlighting the need for an updated and integrative overview of its composition, bioactivity, production variables, and safety aspects. In this review, nutritional, microbiological, and technological perspectives are integrated to provide an updated framework for understanding kombucha as a functional beverage, while also outlining key directions for future research and industrial application.",Pereira AG,International journal of molecular sciences,2026,2026 Mar 17,10.3390/ijms27062739,Journal Article; Review,,
41897788,Q4,"Process Optimization and Flavor Analysis of Lespedeza juncea Tea Based on HS-SPME-GC-O-MS, LC-MS, and Sensory Evaluation.","Based on ancient records of ""Marching tea"" and the flavonoid-rich properties of Lespedeza juncea, this study optimized green tea processing parameters for Lespedeza juncea tea. By adjusting leaf loading, roasting temperature, and time and employing precise methods such as gas chromatography-olfactory-mass spectrometry (GC-O-MS), liquid chromatography-mass spectrometry (LC-MS), and electronic tongues to determine key indicators, including metabolites, volatile compounds, and flavor profiles, the optimal processing conditions were determined through comprehensive analysis as 150 g, 200 °C, and 180 s. These conditions resulted in superior sensory quality (score: 90.9), the highest flavonoid content (4.11%), strong antioxidant activity (DPPH: 66.0% at 20 mg/mL; ABTS: >95% at 2.5 mg/mL), and key aroma compounds 1-octen-3-ol and β-ionone. This work revives an ancient tea tradition and provides a scientific basis for developing novel functional teas from grassland resources.",Fu H; Liu Y; Qiu P; Ying Y; Huang Y; Li R; Yin Q; Meng Y; Zhao Z; Jiang X; Wu H,"Foods (Basel, Switzerland)",2026,2026 Mar 18,10.3390/foods15061066,Journal Article,,
41897763,Q1;Q4,"Cascade Valorisation of Lemon Processing Residues (Part II): Integrated Biorefinery Design, Circular Economy, and Techno-Economic Feasibility.","This review examines the implementation dimensions of integrated lemon biorefinery systems, including cascade valorisation design, circular-economy integration, life-cycle assessment, techno-economic feasibility, and regulatory frameworks. Bibliometric analysis of Web of Science data (2015-2025) reveals exponential growth in citrus-biorefinery research, with lemon representing a burgeoning subset. Techno-economic assessments indicate that cascade biorefineries recovering essential oils, pectin, polyphenols, nanocellulose, and bioenergy can achieve cumulative revenues of USD 400-650 per tonne of dry peel. Whilst small-scale units (<500 tonnes per year) struggle to achieve viability, industrial simulations demonstrate Internal Rates of Return exceeding 18% at processing scales above 100,000 tonnes annually (2025 basis). Life-cycle assessments confirm environmental benefits, with greenhouse gas reductions of 60-85% relative to conventional disposal. Critical success factors include adopting green extraction technologies to preserve bioactive integrity and mitigating D-limonene inhibition in downstream anaerobic digestion. These findings establish essential oil extraction and pectin recovery as commercially mature technologies, whilst integrated multi-product lemon biorefineries remain economically promising based on techno-economic modelling and pilot-scale demonstrations, provided regulatory hurdles are effectively navigated.",Núñez-Pérez J; Burbano-García JL; Espín-Valladares R; Lara-Fiallos MV; DelaVega-Quintero JC; Cevallos-Vallejos M; Pais-Chanfrau JM,"Foods (Basel, Switzerland)",2026,2026 Mar 16,10.3390/foods15061041,Journal Article; Review,,
41897706,Q4,Modulatory Effects of Tea Components with Different Fermentation Degrees on Fluoride Bioavailability in Rats.,"Tea offers health benefits, but some teas accumulate high fluoride (F), posing fluorosis risks. However, the roles of individual tea components in regulating F bioavailability remain unclear. This study investigated the effects of major tea constituents on F metabolism in male rats (n = 5/group) administered F (40 mg/L) alone or with graded doses of epigallocatechin gallate (EGCG, 150-450 mg/kg); theaflavins, thearubigins, and theabrownin (TFs, TRs, TB, 200-800 mg/kg each); tea polysaccharides (TPSs, 25-250 mg/kg); and calcium and aluminum (Ca, Al, 800-3200 µg/kg each) via gavage. Pharmacokinetic analysis of plasma F (0-480 min) and fecal F excretion were assessed. The result showed that high-dose EGCG (450 mg/kg) reduced Cmax by 61.76% and total exposure (AUC0-t) by 37.48% compared to the control, while significantly increasing fecal F by 26.79% (p < 0.05). TB (800 mg/kg) delayed F absorption by prolonging Tmax from 18 to 30 min and reduced Cmax by 35.38% (p < 0.05). TPS (250 mg/kg) decreased Cmax by 51.72% and AUC0-t by 24.38% (p < 0.05). Ca and Al (800-3200 µg/kg) reduced Cmax by 39.19-69.62%, and low-dose aluminum (800 µg/kg) increased fecal F by 35.58% (p < 0.05). These findings elucidate distinct roles of tea constituents in mitigating F bioavailability, providing a scientific basis for tea safety assessment and dietary interventions against F overexposure.",Li J; Xu Z; Hu Y; Huang Y; Hu P; Hou C; Hou R; Peng C; Li D; Wan X; Chen G; Cai H,"Foods (Basel, Switzerland)",2026,2026 Mar 10,10.3390/foods15060984,Journal Article,,
41895929,Q4,Water stress influences aroma fate: The critical role of Zuoqing environmental relative humidity in oolong tea processing.,"The Zuoqing process is a critical step in shaping the elegant aroma quality of oolong tea, in which leaf water plays a key role and is strongly influenced by environmental relative humidity. However, the underlying relationships between Zuoqing environmental relative humidity (ZERH) and the aroma quality of oolong tea remain insufficiently understood. This study systematically investigated the effects of ZERH on leaf water physiology, volatile metabolic networks, transcriptional profiles, and the aroma quality of oolong tea. Results indicated that 70%-ZERH was the most favorable condition for aroma quality formation in oolong tea. During the Zuoqing process, tea leaves under 70%-ZERH exhibited a more favorable spatial distribution of leaf water and an optimal water status. Concurrently, a higher accumulation of phenylalanine- and terpenoid-derived volatile compounds, as well as elevated expression levels of genes such as CsNES, CsCYP, CsGOT, CsTAT, were observed in the related metabolic pathways. In contrast, oolong tea processed under low ZERH exhibited fermented odor, whereas high ZERH was accompanied by inferior aroma quality in the final product. This study systematically elucidates the multiple effects through which ZERH influences aroma formation in oolong tea, providing practical guidance for environmental humidity management and a theoretical basis for traditional empirical knowledge regarding water transport during tea processing.",Kong W; Chen Q; Zhang Y; Zhao J; Zhang F; Ye S; Wu J; Feng J; Lin H; Hao Z; Huang X,"Food research international (Ottawa, Ont.)",2026,2026 May 31,10.1016/j.foodres.2026.118820,Journal Article,,
