record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes
PMID_38056775_AUTO1,PMID_38056775,unspecified tea,unspecified material,multiple component groups,,other,candidate endpoint from title,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,,,,,,,,,Biological potential and mechanisms of Tea's bioactive compounds: An Updated review,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_40477896_AUTO1,PMID_40477896,unspecified tea,tea extract,multiple component groups,,other,candidate endpoint from title,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,processing category contrast,other extraction,,,,,,,Processing Technologies for the Extraction of Value-Added Bioactive Compounds from Tea,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_38137271_AUTO1,PMID_38137271,black tea,tea leaf,multiple component groups,,other,candidate endpoint from title,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,processing category contrast,,,,,,,,Tea Harvesting and Processing Techniques and Its Effect on Phytochemical Profile and Final Quality of Black Tea: A Review,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_39274868_AUTO1,PMID_39274868,unspecified tea,tea infusion,multiple component groups,,gut microbiota modulation,gut microbiota modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,Effects of Differently Processed Tea on the Gut Microbiota,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_39920567_AUTO1,PMID_39920567,unspecified tea,purified component,mixed polyphenols,,other,candidate endpoint from title,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,,,,,,,,,Bioavailability of Tea Polyphenols: A Key Factor in Understanding Their Mechanisms of Action In Vivo and Health Effects,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_38938012_AUTO1,PMID_38938012,unspecified tea,tea infusion,whole extract,,cardiovascular protection,cardiovascular or mortality-related outcome,meta-analysis,evidence_synthesis,human prospective cohorts,needs manual extraction,positive,,other extraction,,,,,,,Tea consumption and risk of all-cause cardiovascular disease and cancer mortality: a meta-analysis of thirty-eight prospective cohort data sets,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=cardiovascular protection.
PMID_40314930_AUTO1,PMID_40314930,unspecified tea,purified component,multiple component groups,,neuroprotection,cognition or neural-protection-related outcome,meta-analysis,evidence_synthesis,human randomized trials,needs manual extraction,mixed,,,,,needs manual extraction,,,cognition or neural phenotype,Effects of Tea (Camellia sinensis) or its Bioactive Compounds l-Theanine or l-Theanine plus Caffeine on Cognition Sleep and Mood in Healthy Participants: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=neuroprotection.
PMID_39574401_AUTO1,PMID_39574401,unspecified tea,purified component,mixed polyphenols,,gut microbiota modulation,gut microbiota and SCFA-related modulation,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; SCFA-associated mechanism; barrier-related mechanism; inflammation-related mechanism,taxa as reported,SCFAs,microbiota-related host phenotype,Tea Polyphenols Reduced Obesity by Modulating Gut Microbiota-SCFAs-Barrier and Inflammation in High-Fat Diet-Induced Mice,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_39574401_AUTO2,PMID_39574401,unspecified tea,purified component,mixed polyphenols,,anti-obesity,obesity-related phenotype,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; SCFA-associated mechanism; barrier-related mechanism; inflammation-related mechanism,taxa as reported,SCFAs,obesity-related phenotype,Tea Polyphenols Reduced Obesity by Modulating Gut Microbiota-SCFAs-Barrier and Inflammation in High-Fat Diet-Induced Mice,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_39574401_AUTO3,PMID_39574401,unspecified tea,purified component,mixed polyphenols,,anti-inflammatory,inflammation-related outcome,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,microbiota-associated mechanism; SCFA-associated mechanism; barrier-related mechanism; inflammation-related mechanism,taxa as reported,SCFAs,inflammation phenotype,Tea Polyphenols Reduced Obesity by Modulating Gut Microbiota-SCFAs-Barrier and Inflammation in High-Fat Diet-Induced Mice,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-inflammatory.
