record_id,paper_id,tea_type,material_form,component_group,compound_name,activity_category,endpoint_label,study_type,evidence_level,model_system,dose_exposure,effect_direction,processing_step,extraction_method,cultivar,origin,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,claim_text_raw,confidence_score,annotator_id,adjudication_status,notes
PMID_41911645_AUTO1,PMID_41911645,green tea,purified component,catechins,,anti-inflammatory,inflammation-related outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,inflammation phenotype,Epigallocatechin gallate alleviates intervertebral disc degeneration by suppressing ferroptosis-driven innate immune activation in nucleus pulposus cells.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-inflammatory.
PMID_41907215_AUTO1,PMID_41907215,green tea,purified component,catechins,,gut microbiota modulation,gut microbiota modulation,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,,,,,microbiota-associated mechanism,taxa as reported,,microbiota-related host phenotype,Epigallocatechin Gallate Influences in Acute Respiratory Distress Syndrome by Regulating Gut Microbiota: Current Research Status and Therapeutic Prospects.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41901054_AUTO1,PMID_41901054,green tea,purified component,mixed polyphenols,,anti-obesity,obesity-related phenotype,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,mixed,,,,,needs manual extraction,,,obesity-related phenotype,Association Between Selected Flavanols and Isoflavones and Precocious Puberty in Girls-A Scoping Review.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=anti-obesity.
PMID_41899489_AUTO1,PMID_41899489,unspecified tea,purified component,tea polysaccharides,,gut microbiota modulation,gut microbiota modulation,animal study,preclinical_in_vivo,mouse model,needs manual extraction,positive,,,,,needs manual extraction,taxa as reported,,microbiota-related host phenotype,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=gut microbiota modulation.
PMID_41898599_AUTO1,PMID_41898599,fermented tea,fermented beverage,multiple component groups,,antioxidant,oxidative stress or antioxidant-status outcome,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,fermentation/oxidation,,,,needs manual extraction,,,oxidative stress phenotype,"Kombucha as a Bioactive Functional Beverage: Current Evidence, Production Challenges, and Future Perspectives.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41897706_AUTO1,PMID_41897706,unspecified tea,purified component,theaflavins,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Modulatory Effects of Tea Components with Different Fermentation Degrees on Fluoride Bioavailability in Rats.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41888324_AUTO1,PMID_41888324,unspecified tea,unspecified material,multiple component groups,,other,candidate endpoint from title,systematic review,evidence_synthesis_nonquantitative,review synthesis,needs manual extraction,positive,,,,,,,,,"Valorization of ligustrum species: biosynthesis, metabolic engineering, and pharmacology of bioactive compounds.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41884463_AUTO1,PMID_41884463,dark tea,unspecified material,multiple component groups,,other,candidate endpoint from title,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,Temperature regulates flavor and bioactivity in dark tea fermentation: Insights from an A spergillus tubingensis single-strain model.,0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=other.
PMID_41882045_AUTO1,PMID_41882045,green tea,purified component,catechins,,antioxidant,oxidative stress or antioxidant-status outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,needs manual extraction,,,oxidative stress phenotype,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=antioxidant.
PMID_41882045_AUTO2,PMID_41882045,green tea,purified component,catechins,,cardiovascular protection,cardiovascular or mortality-related outcome,animal study,preclinical_in_vivo,animal model,needs manual extraction,positive,,,,,,,,,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",0.55,auto_v1,needs_review,Auto-generated candidate record from included paper metadata/title for activity=cardiovascular protection.
