claim_text_raw,confidence_score,context_completeness_score,journal,label,mechanism_specificity_score,node_id,node_type,title,uncertainty_class,uncertainty_flags,year
,,,Journal of inflammation research,PMID_41907215,,paper:PMID_41907215,Paper,Epigallocatechin Gallate Influences in Acute Respiratory Distress Syndrome by Regulating Gut Microbiota: Current Research Status and Therapeutic Prospects.,,,2026
"EGCG shows promise in ARDS therapy by restoring gut homeostasis, enhancing barrier function, modulating immune responses.",0.786,0.550,,PMID_41907215_GLM1,0.850,record:PMID_41907215_GLM1,EvidenceRecord,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,
,,,,green tea,,tea_type:green_tea,TeaType,,,,
,,,,purified component,,material_form:purified_component,MaterialForm,,,,
,,,,catechins,,component_group:catechins,ComponentGroup,,,,
,,,,gut microbiota modulation,,activity:gut_microbiota_modulation,ActivityCategory,,,,
,,,,systematic review,,study_type:systematic_review,StudyType,,,,
,,,,evidence_synthesis_nonquantitative,,evidence_level:evidence_synthesis_nonquantitative,EvidenceLevel,,,,
,,,,positive,,effect_direction:positive,EffectDirection,,,,
,,,,gut-lung axis modulation,,mechanism:gut_lung_axis_modulation,Mechanism,,,,
,,,,gut homeostasis,,phenotype:gut_homeostasis,HostPhenotype,,,,
,,,,barrier function,,phenotype:barrier_function,HostPhenotype,,,,
,,,,immune response,,phenotype:immune_response,HostPhenotype,,,,
,,,,missing_named_microbiota,,uncertainty:missing_named_microbiota,UncertaintyFlag,,,,
,,,,missing_processing_or_extraction_context,,uncertainty:missing_processing_or_extraction_context,UncertaintyFlag,,,,
,,,,review_summary_record,,uncertainty:review_summary_record,UncertaintyFlag,,,,
,,,Nutrients,PMID_41901054,,paper:PMID_41901054,Paper,Association Between Selected Flavanols and Isoflavones and Precocious Puberty in Girls-A Scoping Review.,,,2026
polyphenols from decaffeinated green tea (DGTP) may contribute to lowering the age of first menstruation in girls living with obesity.,0.744,0.800,,PMID_41901054_GLM1,0.000,record:PMID_41901054_GLM1,EvidenceRecord,,moderate_uncertainty,generic_mechanism; review_summary_record,
,,,,mixed polyphenols,,component_group:mixed_polyphenols,ComponentGroup,,,,
,,,,decaffeination,,processing_step:decaffeination,ProcessingStep,,,,
,,,,anti-obesity,,activity:anti_obesity,ActivityCategory,,,,
,,,,negative,,effect_direction:negative,EffectDirection,,,,
,,,,obesity,,phenotype:obesity,HostPhenotype,,,,
,,,,generic_mechanism,,uncertainty:generic_mechanism,UncertaintyFlag,,,,
,,,Current issues in molecular biology,PMID_41899489,,paper:PMID_41899489,Paper,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,,,2026
TPS ameliorates NAFLD-associated inflammation by modulating the gut-liver axis and promoting M2 macrophage polarization.,0.710,0.300,,PMID_41899489_GLM1,0.750,record:PMID_41899489_GLM1,EvidenceRecord,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only,
,,,,unspecified tea,,tea_type:unspecified_tea,TeaType,,,,
,,,,tea polysaccharides,,component_group:tea_polysaccharides,ComponentGroup,,,,
,,,,animal study,,study_type:animal_study,StudyType,,,,
,,,,preclinical_in_vivo,,evidence_level:preclinical_in_vivo,EvidenceLevel,,,,
,,,,gut-liver axis: promotes butyrate production to skew macrophages to M2,,mechanism:gut_liver_axis_promotes_butyrate_production_to_skew_macrophages_to_m2,Mechanism,,,,
,,,,butyric acid,,metabolite:butyric_acid,MicrobialMetabolite,,,,
,,,,reduced liver inflammation and injury,,phenotype:reduced_liver_inflammation_and_injury,HostPhenotype,,,,
,,,,preclinical_only,,uncertainty:preclinical_only,UncertaintyFlag,,,,
"TPS...promotes the production of butyric acid by gut microbiota, which in turn regulates macrophage polarization.",0.683,0.300,,PMID_41899489_GLM2,0.750,record:PMID_41899489_GLM2,EvidenceRecord,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only,
