source_id,target_id,edge_type,provenance
paper:PMID_36449351,record:PMID_36449351_R1,HAS_RECORD,PMID_36449351
record:PMID_36449351_R1,tea_type:dark_post_fermented_tea,HAS_TEA_TYPE,PMID_36449351
record:PMID_36449351_R1,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_36449351
record:PMID_36449351_R1,activity:anti_obesity,SUPPORTS_ACTIVITY,PMID_36449351
record:PMID_36449351_R1,study_type:animal_study,HAS_STUDY_TYPE,PMID_36449351
record:PMID_36449351_R1,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_36449351
record:PMID_36449351_R1,mechanism:gut_microbiota_dependent_thermogenesis,ACTS_VIA,PMID_36449351
record:PMID_36449351_R1,microbiota:taxa_as_reported,MODULATES_MICROBIOTA,PMID_36449351
record:PMID_36449351_R1,phenotype:obesity_related_phenotype,ASSOCIATED_HOST_PHENOTYPE,PMID_36449351
paper:PMID_36449351,record:PMID_36449351_R2,HAS_RECORD,PMID_36449351
record:PMID_36449351_R2,tea_type:dark_post_fermented_tea,HAS_TEA_TYPE,PMID_36449351
record:PMID_36449351_R2,component_group:tea_polysaccharides,HAS_COMPONENT_GROUP,PMID_36449351
record:PMID_36449351_R2,activity:gut_microbiota_modulation,SUPPORTS_ACTIVITY,PMID_36449351
record:PMID_36449351_R2,study_type:animal_study,HAS_STUDY_TYPE,PMID_36449351
record:PMID_36449351_R2,evidence_level:preclinical_in_vivo,HAS_EVIDENCE_LEVEL,PMID_36449351
record:PMID_36449351_R2,mechanism:microbiota_thermogenesis_axis,ACTS_VIA,PMID_36449351
record:PMID_36449351_R2,microbiota:taxa_as_reported,MODULATES_MICROBIOTA,PMID_36449351
record:PMID_36449351_R2,phenotype:adipocyte_thermogenesis,ASSOCIATED_HOST_PHENOTYPE,PMID_36449351
paper:PMID_38031409,record:PMID_38031409_R1,HAS_RECORD,PMID_38031409
record:PMID_38031409_R1,tea_type:green_tea,HAS_TEA_TYPE,PMID_38031409
record:PMID_38031409_R1,component_group:mixed_polyphenols,HAS_COMPONENT_GROUP,PMID_38031409
record:PMID_38031409_R1,activity:anti_obesity,SUPPORTS_ACTIVITY,PMID_38031409
record:PMID_38031409_R1,study_type:meta_analysis,HAS_STUDY_TYPE,PMID_38031409
record:PMID_38031409_R1,evidence_level:evidence_synthesis,HAS_EVIDENCE_LEVEL,PMID_38031409
paper:PMID_38031409,record:PMID_38031409_R2,HAS_RECORD,PMID_38031409
record:PMID_38031409_R2,tea_type:green_tea,HAS_TEA_TYPE,PMID_38031409
record:PMID_38031409_R2,component_group:mixed_polyphenols,HAS_COMPONENT_GROUP,PMID_38031409
record:PMID_38031409_R2,activity:antioxidant,SUPPORTS_ACTIVITY,PMID_38031409
record:PMID_38031409_R2,study_type:meta_analysis,HAS_STUDY_TYPE,PMID_38031409
record:PMID_38031409_R2,evidence_level:evidence_synthesis,HAS_EVIDENCE_LEVEL,PMID_38031409
paper:PMID_38056775,record:PMID_38056775_R1,HAS_RECORD,PMID_38056775
record:PMID_38056775_R1,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_38056775
record:PMID_38056775_R1,component_group:multiple_component_groups,HAS_COMPONENT_GROUP,PMID_38056775
record:PMID_38056775_R1,activity:anti_inflammatory,SUPPORTS_ACTIVITY,PMID_38056775
record:PMID_38056775_R1,study_type:systematic_review,HAS_STUDY_TYPE,PMID_38056775
record:PMID_38056775_R1,evidence_level:evidence_synthesis_nonquantitative,HAS_EVIDENCE_LEVEL,PMID_38056775
record:PMID_38056775_R1,mechanism:multiple_mechanisms_summarized,ACTS_VIA,PMID_38056775
paper:PMID_38056775,record:PMID_38056775_R2,HAS_RECORD,PMID_38056775
record:PMID_38056775_R2,tea_type:unspecified_tea,HAS_TEA_TYPE,PMID_38056775
record:PMID_38056775_R2,component_group:multiple_component_groups,HAS_COMPONENT_GROUP,PMID_38056775
record:PMID_38056775_R2,activity:gut_microbiota_modulation,SUPPORTS_ACTIVITY,PMID_38056775
record:PMID_38056775_R2,study_type:systematic_review,HAS_STUDY_TYPE,PMID_38056775
record:PMID_38056775_R2,evidence_level:evidence_synthesis_nonquantitative,HAS_EVIDENCE_LEVEL,PMID_38056775
record:PMID_38056775_R2,mechanism:microbiota_related_mechanisms_summarized,ACTS_VIA,PMID_38056775
paper:PMID_38430822,record:PMID_38430822_R1,HAS_RECORD,PMID_38430822
