record_id,paper_id,title,silver_tea_type,silver_component_group,silver_processing_step,silver_extraction_method,uncertainty_class,uncertainty_flags,abstract_available
PMID_41907215_GLM1,PMID_41907215,Epigallocatechin Gallate Influences in Acute Respiratory Distress Syndrome by Regulating Gut Microbiota: Current Research Status and Therapeutic Prospects.,green tea,catechins,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; review_summary_record,true
PMID_41901054_GLM1,PMID_41901054,Association Between Selected Flavanols and Isoflavones and Precocious Puberty in Girls-A Scoping Review.,green tea,mixed polyphenols,,,moderate_uncertainty,generic_mechanism; missing_processing_or_extraction_context; review_summary_record,true
PMID_41899489_GLM1,PMID_41899489,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only,true
PMID_41899489_GLM2,PMID_41899489,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_named_microbiota; missing_processing_or_extraction_context; preclinical_only,true
PMID_41888324_GLM1,PMID_41888324,"Valorization of ligustrum species: biosynthesis, metabolic engineering, and pharmacology of bioactive compounds.",unspecified tea,mixed polyphenols,,,moderate_uncertainty,missing_processing_or_extraction_context; review_summary_record; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41882045_GLM1,PMID_41882045,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed; uncertain_effect_direction,true
PMID_41882045_GLM2,PMID_41882045,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",green tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41880967_GLM1,PMID_41880967,Targeted quantitative analysis and antioxidant activity reveal the quality characteristics of Chinese black teas from different regions.,black tea,theaflavins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only,true
PMID_41868711_GLM1,PMID_41868711,Qing-brick tea alleviates metabolic dysfunction-associated fatty liver disease: involvement of AMPK/ACC and SREBP1/FAS pathways.,unspecified tea,catechins,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction,true
PMID_41863981_GLM1,PMID_41863981,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; uncertain_effect_direction,true
PMID_41863981_GLM2,PMID_41863981,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",unspecified tea,tea polysaccharides,,,moderate_uncertainty,missing_processing_or_extraction_context; preclinical_only; taxonomy_expansion_needed,true
