node_id,node_type,label,year,journal,title,effect_direction,confidence_score,claim_text_raw
paper:PMID_36449351,Paper,PMID_36449351,2022,Food & Function,Heimao tea polysaccharides ameliorate obesity by enhancing gut microbiota-dependent adipocytes thermogenesis in mice fed with high fat diet,,,
record:PMID_36449351_R1,EvidenceRecord,PMID_36449351_R1,,,,positive,0.94,Heimao tea polysaccharides ameliorated obesity by enhancing gut microbiota-dependent adipocyte thermogenesis in mice fed a high-fat diet.
tea_type:dark_post_fermented_tea,TeaType,dark/post-fermented tea,,,,,,
component_group:tea_polysaccharides,ComponentGroup,tea polysaccharides,,,,,,
activity:anti_obesity,ActivityCategory,anti-obesity,,,,,,
study_type:animal_study,StudyType,animal study,,,,,,
evidence_level:preclinical_in_vivo,EvidenceLevel,preclinical_in_vivo,,,,,,
mechanism:gut_microbiota_dependent_thermogenesis,Mechanism,gut microbiota-dependent thermogenesis,,,,,,
microbiota:taxa_as_reported,MicrobiotaFeature,taxa as reported,,,,,,
phenotype:obesity_related_phenotype,HostPhenotype,obesity-related phenotype,,,,,,
record:PMID_36449351_R2,EvidenceRecord,PMID_36449351_R2,,,,positive,0.93,Heimao tea polysaccharides enhanced gut microbiota-dependent adipocyte thermogenesis in obese mice.
activity:gut_microbiota_modulation,ActivityCategory,gut microbiota modulation,,,,,,
mechanism:microbiota_thermogenesis_axis,Mechanism,microbiota-thermogenesis axis,,,,,,
phenotype:adipocyte_thermogenesis,HostPhenotype,adipocyte thermogenesis,,,,,,
paper:PMID_38031409,Paper,PMID_38031409,2024,British Journal of Nutrition,The effects of green tea extract supplementation on body composition obesity-related hormones and oxidative stress markers: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,,,
record:PMID_38031409_R1,EvidenceRecord,PMID_38031409_R1,,,,mixed,Dose-response meta-analysis of randomized trials on green tea extract supplementation and body composition/obesity-related hormone outcomes.,
tea_type:green_tea,TeaType,green tea,,,,,,
component_group:mixed_polyphenols,ComponentGroup,mixed polyphenols,,,,,,
study_type:meta_analysis,StudyType,meta-analysis,,,,,,
evidence_level:evidence_synthesis,EvidenceLevel,evidence_synthesis,,,,,,
record:PMID_38031409_R2,EvidenceRecord,PMID_38031409_R2,,,,positive,Green tea extract supplementation improved oxidative stress markers in randomized trials.,
activity:antioxidant,ActivityCategory,antioxidant,,,,,,
paper:PMID_38056775,Paper,PMID_38056775,2024,Journal of Advanced Research,Biological potential and mechanisms of Tea's bioactive compounds: An Updated review,,,
