paper_id,source_db,title,authors,journal,year,doi,pmid,study_type,tea_type,material_form,component_group,activity_category,processing_present,extraction_present,microbiome_present,include_status,exclusion_reason,notes
PMID_41914205,PubMed,Altered Metabolite Profiling and Gene Expression During Adventitious Root Regeneration From Tea Stem Cuttings: Potential Roles in Growth and Defense.,Yu S; Liu J; Zhou J; Liu H; Peng A; Li S; Song L; Zhao J,Physiologia plantarum,2026,10.1111/ppl.70849,41914205,plant/agronomy study,unspecified tea,purified component,theanine,metabolic improvement,no,no,no,exclude,Out of scope: plant/agronomy rather than functional activity evidence.,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41911645,PubMed,Epigallocatechin gallate alleviates intervertebral disc degeneration by suppressing ferroptosis-driven innate immune activation in nucleus pulposus cells.,Lu S; Liu J; Sheng J; Wang R; Zhao Y; Liu Y,International immunopharmacology,2026,10.1016/j.intimp.2026.116559,41911645,animal study,green tea,purified component,catechins,anti-inflammatory,no,no,no,include,,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41907215,PubMed,Epigallocatechin Gallate Influences in Acute Respiratory Distress Syndrome by Regulating Gut Microbiota: Current Research Status and Therapeutic Prospects.,Fan S; Ren Y; Ma N; Fan X; Yin G; Liang Y; Luo Y; Deng Y; Tang J; Luo D; Fan X,Journal of inflammation research,2026,10.2147/JIR.S556609,41907215,systematic review,green tea,purified component,catechins,gut microbiota modulation,no,no,yes,include,,matched_queries=Q1;Q2; abstract_saved_in_raw_batch
PMID_41901054,PubMed,Association Between Selected Flavanols and Isoflavones and Precocious Puberty in Girls-A Scoping Review.,Michońska I; Serwin A; Dereń K,Nutrients,2026,10.3390/nu18060879,41901054,systematic review,green tea,purified component,mixed polyphenols,anti-obesity,no,no,no,include,,matched_queries=Q1; abstract_saved_in_raw_batch
PMID_41899489,PubMed,Tea Polysaccharides Ameliorates Non-Alcoholic Fatty Liver Disease in Mice via Regulating Macrophages Polarization by Gut Microbial Metabolites.,Liu D; Li A; Li P,Current issues in molecular biology,2026,10.3390/cimb48030338,41899489,animal study,unspecified tea,purified component,tea polysaccharides,gut microbiota modulation,no,no,yes,include,,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41898599,PubMed,"Kombucha as a Bioactive Functional Beverage: Current Evidence, Production Challenges, and Future Perspectives.",Pereira AG,International journal of molecular sciences,2026,10.3390/ijms27062739,41898599,systematic review,fermented tea,fermented beverage,multiple component groups,antioxidant,yes,no,no,include,,matched_queries=Q1;Q4; abstract_saved_in_raw_batch
PMID_41897788,PubMed,"Process Optimization and Flavor Analysis of Lespedeza juncea Tea Based on HS-SPME-GC-O-MS, LC-MS, and Sensory Evaluation.",Fu H; Liu Y; Qiu P; Ying Y; Huang Y; Li R; Yin Q; Meng Y; Zhao Z; Jiang X; Wu H,"Foods (Basel, Switzerland)",2026,10.3390/foods15061066,41897788,plant/agronomy study,green tea,tea leaf,multiple component groups,antioxidant,yes,no,no,exclude,Out of scope: plant/agronomy rather than functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41897763,PubMed,"Cascade Valorisation of Lemon Processing Residues (Part II): Integrated Biorefinery Design, Circular Economy, and Techno-Economic Feasibility.",Núñez-Pérez J; Burbano-García JL; Espín-Valladares R; Lara-Fiallos MV; DelaVega-Quintero JC; Cevallos-Vallejos M; Pais-Chanfrau JM,"Foods (Basel, Switzerland)",2026,10.3390/foods15061041,41897763,systematic review,unspecified tea,tea extract,mixed polyphenols,other,yes,yes,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q1;Q4; abstract_saved_in_raw_batch
PMID_41897706,PubMed,Modulatory Effects of Tea Components with Different Fermentation Degrees on Fluoride Bioavailability in Rats.,Li J; Xu Z; Hu Y; Huang Y; Hu P; Hou C; Hou R; Peng C; Li D; Wan X; Chen G; Cai H,"Foods (Basel, Switzerland)",2026,10.3390/foods15060984,41897706,animal study,unspecified tea,purified component,theaflavins,other,yes,no,no,maybe,,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41895929,PubMed,Water stress influences aroma fate: The critical role of Zuoqing environmental relative humidity in oolong tea processing.,Kong W; Chen Q; Zhang Y; Zhao J; Zhang F; Ye S; Wu J; Feng J; Lin H; Hao Z; Huang X,"Food research international (Ottawa, Ont.)",2026,10.1016/j.foodres.2026.118820,41895929,unspecified,oolong tea,tea leaf,multiple component groups,metabolic improvement,yes,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41891793,PubMed,Long-Tea-CLIP: An Expert-Level Multimodal AI Framework for Fine-Grained Green Tea Grading Across Five Sensory Dimensions.,Xu Y; Xue Z; Luo Q; Liu X; Xu Y; Jing H; Zhang X; Zhang X; Liu Z; Luo Z,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2026,10.1002/advs.202518235,41891793,plant/agronomy study,green tea,tea extract,whole extract,other,no,yes,no,exclude,Out of scope: plant/agronomy rather than functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41888324,PubMed,"Valorization of ligustrum species: biosynthesis, metabolic engineering, and pharmacology of bioactive compounds.",Li D; Lu C; Zhang Y; Yu Y; Fei C; Chen P; Fu R; Wu M; Zhou P,Bioresources and bioprocessing,2026,10.1186/s40643-026-01042-3,41888324,systematic review,unspecified tea,unspecified material,multiple component groups,metabolic improvement,no,no,no,include,,matched_queries=Q1; abstract_saved_in_raw_batch
PMID_41884463,PubMed,Temperature regulates flavor and bioactivity in dark tea fermentation: Insights from an A spergillus tubingensis single-strain model.,Niaz R; Wu S; Pu Q; Niaz H; Qu A; Qi M; Shen T; Wang C; Chen L; Li M; Huang Y,Food chemistry: X,2026,10.1016/j.fochx.2026.103758,41884463,animal study,dark tea,unspecified material,multiple component groups,metabolic improvement,yes,no,no,include,,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41882045,PubMed,"Unveiling of phytochemicals, antioxidants, cytotoxic effects and anthelmintic potency of green tea (Camellia sinensis) beverage against albendazole resistant Hamonchus contortus.",Hassan NMF; Elsawy BSM; Helal MA; Mahmoud MH; El-Ezz NMTA; Shalaby HA,Scientific reports,2026,10.1038/s41598-026-42739-x,41882045,animal study,green tea,purified component,catechins,cardiovascular protection,no,no,no,include,,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41880967,PubMed,Targeted quantitative analysis and antioxidant activity reveal the quality characteristics of Chinese black teas from different regions.,Qu L; Wang J; Jiang Y; Li R; Hua J; Wang K; Xu X; Sun H; Yuan H,Food chemistry,2026,10.1016/j.foodchem.2026.148865,41880967,animal study,black tea,purified component,theaflavins,antioxidant,no,no,no,include,,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41868711,PubMed,Qing-brick tea alleviates metabolic dysfunction-associated fatty liver disease: involvement of AMPK/ACC and SREBP1/FAS pathways.,You C; Li W; Xiang J; Li L; Zheng R; Luo J; Liu Y; Yang Y; Xiao C; He J; Huang Y,Cytotechnology,2026,10.1007/s10616-026-00930-y,41868711,animal study,unspecified tea,purified component,catechins,metabolic improvement,yes,no,no,include,,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41867690,PubMed,Optimized extraction of polyphenols from rooibos tea (Aspalathus linearis) and their biological activities.,Othman MM; Azakir B; Khazaal S; Rabie M; Salem Sokhn E; Maroun RG; Debs E; Louka N; El Darra N,Frontiers in nutrition,2026,10.3389/fnut.2026.1778749,41867690,animal study,unspecified tea,tea extract,mixed polyphenols,antioxidant,yes,yes,no,include,,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41867401,PubMed,"Decoding long-term aging of ripened Pu-erh tea: sensory equilibrium, metabolic pathways, and chemical markers.",Zheng X; Bai S; Chen D; Wen S; Wang L; An H; Liang H; Yao H; Chen Y; Chen H; Zhang J; Xue Y; Huang J; Liu Z,Food chemistry: X,2026,10.1016/j.fochx.2026.103755,41867401,plant/agronomy study,unspecified tea,purified component,catechins,metabolic improvement,no,no,no,exclude,Out of scope: plant/agronomy rather than functional activity evidence.,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41863981,PubMed,"Effects of tea polyphenols on intestinal barrier, antioxidant capacity, and cecal microbiota in lion-head geese.",Fu Z; Fu J; Wang Y; Zhan K; Liang Y; Ao N; Shen Q; Liu C,Poultry science,2026,10.1016/j.psj.2026.106706,41863981,animal study,unspecified tea,purified component,tea polysaccharides,gut microbiota modulation,no,no,yes,include,,matched_queries=Q2;Q3; abstract_saved_in_raw_batch
PMID_41863176,PubMed,Potential Role and Mechanisms of Epigallocatechin-3-Gallate in Colorectal Cancer.,Bao Y; Du Y; Wang D; Li J; Yao F; Wu Q,Current medicinal chemistry,2026,10.2174/0109298673438731251212115733,41863176,systematic review,green tea,purified component,catechins,gut microbiota modulation,no,no,yes,include,,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41861686,PubMed,Large-leaf yellow tea oligosaccharides alleviate T2DM by promoting GLP-1 secretion and regulating intestinal mucosal barrier.,Wu H; Xie H; Li M; Li Y; Wang X; Xu N; Ge H; Xie Z; Wang Y; Li D; Wang H,Phytomedicine : international journal of phytotherapy and phytopharmacology,2026,10.1016/j.phymed.2026.158079,41861686,animal study,yellow tea,purified component,tea polysaccharides,gut microbiota modulation,yes,no,yes,include,,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41859366,PubMed,Identification of a unique tea germplasm exhibiting hyperaccumulation of trans-catechins and its molecular regulatory mechanism.,Zhang Y; Wang Y; Li C; Kong X; You X; Chen Z; Li X; Shan R; Zheng S; Lin Z; Yu W; Wei K; Chen C,Food chemistry. Molecular sciences,2026,10.1016/j.fochms.2026.100385,41859366,animal study,unspecified tea,purified component,caffeine,metabolic improvement,no,no,no,include,,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41858500,PubMed,Covalent modification of flaxseed protein isolate by polyphenols and characterization of the structural and functional properties of the conjugates.,Yang F; Li J; Wang J; Gan S; Dong G,Food chemistry: X,2026,10.1016/j.fochx.2026.103744,41858500,animal study,unspecified tea,tea extract,mixed polyphenols,antioxidant,no,yes,no,include,,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41855828,PubMed,Comparison of volatile organic compounds and antioxidant activity in Dendrobii Officinalis Flos under different drying methods.,Dai Y; Yu Z; Huang J; Zhang S; Liu Y; Li S; Huang D,Journal of chromatography. A,2026,10.1016/j.chroma.2026.466898,41855828,animal study,unspecified tea,tea infusion,multiple component groups,antioxidant,yes,no,no,include,,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41853611,PubMed,"Seasonal and processing differences in nonvolatile compounds and volatile aroma of teas from Zhaoyuan, China: insight into ""spring green, summer black, autumn dark"" quality pattern.",Tian L; Yao Y; Zhang Y; Zhang X; Zhao J,Food chemistry: X,2026,10.1016/j.fochx.2026.103740,41853611,animal study,dark tea,tea extract,theanine,other,yes,yes,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41853609,PubMed,Effects of the flowering process on the metabolite profiles and bioactivities of Shaanxi Fu brick tea.,Ma W; Yao H; Zhao L; Lv H,Food chemistry: X,2026,10.1016/j.fochx.2026.103741,41853609,animal study,unspecified tea,purified component,caffeine,metabolic improvement,yes,no,no,include,,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41853598,PubMed,From chemical characterization to functional validation: Screening of anti-hyperglycemic components and their action mechanisms in differentially fermented teas.,Li G; Zhang J; Gao Y; Cui H; Niu D; Yin J,Food chemistry: X,2026,10.1016/j.fochx.2026.103721,41853598,animal study,fermented tea,purified component,theaflavins,metabolic improvement,yes,no,no,include,,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41853594,PubMed,Mutual interactions between HG-LG gellan gum and tea polyphenols: Concentration-dependent structural modulation and enhanced antioxidant stability.,Lu H; Chang T; Geng M; Qi L; Xu D; Zhang M; Zhu Y; Zhu G,Food chemistry: X,2026,10.1016/j.fochx.2026.103713,41853594,animal study,unspecified tea,purified component,catechins,antioxidant,yes,no,no,include,,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41844524,PubMed,Evolution in the chemical composition of Liubao tea during processing.,He Q; Sun L; Dai C; Wang Q; Ge L,Journal of the science of food and agriculture,2026,10.1002/jsfa.70592,41844524,animal study,dark tea,purified component,catechins,other,yes,no,no,include,,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41839755,PubMed,Commercial kombucha beverages produced in Uruguay: physicochemical composition and antioxidant profile.,Tourné F; Medina K; Listur B; Báez J; Martín V,Journal of the science of food and agriculture,2026,10.1002/jsfa.70589,41839755,animal study,fermented tea,fermented beverage,mixed polyphenols,antioxidant,yes,no,no,include,,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41839464,PubMed,Preparation and characterization of chitosan‑sodium alginate complex edible casings incorporated with tea polyphenols and their application in dry-cured sausages.,Li H; Gao Y; Xu T; Zhao K; Su M; He J; Tang H,Food chemistry,2026,10.1016/j.foodchem.2026.148797,41839464,animal study,unspecified tea,purified component,mixed polyphenols,other,no,no,no,include,,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41833670,PubMed,Postbiotic-assisted synthesis of cerium oxide nanocomposites functionalized with folic acid-chitosan and tea polyphenols for redox-regulated anticancer activity.,Sathiyaseelan A; You HS; Park S; Wang MH,International journal of biological macromolecules,2026,10.1016/j.ijbiomac.2026.151422,41833670,animal study,unspecified tea,purified component,mixed polyphenols,antioxidant,no,no,no,include,,matched_queries=Q2; abstract_saved_in_raw_batch
PMID_41833134,PubMed,Shaking promotes the accumulation of flavor-imparting metabolites and enhances the sensory quality of spring black tea.,Fang C; You R; Gong Y; Huang P; Huang F; Gao W; Ye X; Ye Y,Food chemistry,2026,10.1016/j.foodchem.2026.148871,41833134,animal study,black tea,purified component,theaflavins,metabolic improvement,yes,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q2;Q4; abstract_saved_in_raw_batch
PMID_41830542,PubMed,"Unveiling the Complexity of Pu-Erh Tea Flavor: Integrating Chemistry, Processing, and Sensory Neuroscience.",Zheng H; Yue R; Jiang J; Luo L; Zeng L; Liu Y,Comprehensive reviews in food science and food safety,2026,10.1111/1541-4337.70440,41830542,systematic review,unspecified tea,purified component,mixed polyphenols,other,yes,no,no,exclude,Out of scope for tea functional activity evidence.,matched_queries=Q4; abstract_saved_in_raw_batch
PMID_41830022,PubMed,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,Iino C; Mikami K; Furusawa K; Sato S; Yoshida K; Yamaguchi T; Bushita H; Kinoshita K; Matsui Y; Imoto S; Iwane T; Tamada Y; Murashita K; Nakaji S; Mikami T; Sakuraba H,Nutrients,2026,10.3390/nu18050851,41830022,randomized controlled trial,green tea,purified component,catechins,gut microbiota modulation,no,no,yes,include,,matched_queries=Q2;Q3;Q5; abstract_saved_in_raw_batch
