node_id,node_type,label,year,journal,title,effect_direction,confidence_score,claim_text_raw
paper:PMID_36449351,Paper,PMID_36449351,2022,Food & Function,Heimao tea polysaccharides ameliorate obesity by enhancing gut microbiota-dependent adipocytes thermogenesis in mice fed with high fat diet,,,
record:PMID_36449351_R1,EvidenceRecord,PMID_36449351_R1,,,,positive,0.96,"Heimao tea polysaccharides ameliorated obesity by enhancing gut microbiota-dependent adipocyte thermogenesis in mice fed a high-fat diet, with Dubosiella and Romboutsia closely associated with the anti-obesity effect."
tea_type:dark_post_fermented_tea,TeaType,dark/post-fermented tea,,,,,,
component_group:tea_polysaccharides,ComponentGroup,tea polysaccharides,,,,,,
activity:anti_obesity,ActivityCategory,anti-obesity,,,,,,
study_type:animal_study,StudyType,animal study,,,,,,
evidence_level:preclinical_in_vivo,EvidenceLevel,preclinical_in_vivo,,,,,,
mechanism:gut_microbiota_dependent_thermogenesis,Mechanism,gut microbiota-dependent thermogenesis,,,,,,
microbiota:dubosiella_romboutsia,MicrobiotaFeature,Dubosiella; Romboutsia,,,,,,
phenotype:obesity_related_phenotype,HostPhenotype,obesity-related phenotype,,,,,,
record:PMID_36449351_R2,EvidenceRecord,PMID_36449351_R2,,,,positive,0.96,Dubosiella and Romboutsia increased significantly and were negatively correlated with body weight and positively correlated with iBAT index in HMTP-treated obese mice.
activity:gut_microbiota_modulation,ActivityCategory,gut microbiota modulation,,,,,,
mechanism:microbiota_thermogenesis_axis,Mechanism,microbiota-thermogenesis axis,,,,,,
phenotype:adipocyte_thermogenesis,HostPhenotype,adipocyte thermogenesis,,,,,,
paper:PMID_38031409,Paper,PMID_38031409,2024,British Journal of Nutrition,The effects of green tea extract supplementation on body composition obesity-related hormones and oxidative stress markers: a grade-assessed systematic review and dose-response meta-analysis of randomised controlled trials,,,
record:PMID_38031409_R1,EvidenceRecord,PMID_38031409_R1,,,,mixed,Dose-response meta-analysis of randomized trials on green tea extract supplementation and body composition/obesity-related hormone outcomes.,
tea_type:green_tea,TeaType,green tea,,,,,,
component_group:mixed_polyphenols,ComponentGroup,mixed polyphenols,,,,,,
study_type:meta_analysis,StudyType,meta-analysis,,,,,,
evidence_level:evidence_synthesis,EvidenceLevel,evidence_synthesis,,,,,,
record:PMID_38031409_R2,EvidenceRecord,PMID_38031409_R2,,,,positive,Green tea extract supplementation improved oxidative stress markers in randomized trials.,
activity:antioxidant,ActivityCategory,antioxidant,,,,,,
paper:PMID_38056775,Paper,PMID_38056775,2024,Journal of Advanced Research,Biological potential and mechanisms of Tea's bioactive compounds: An Updated review,,,
record:PMID_38056775_R1,EvidenceRecord,PMID_38056775_R1,,,,positive,0.95,Updated review summarizing anti-inflammatory mechanisms and activities of tea bioactive compounds across studies.
tea_type:unspecified_tea,TeaType,unspecified tea,,,,,,
component_group:multiple_component_groups,ComponentGroup,multiple component groups,,,,,,
activity:anti_inflammatory,ActivityCategory,anti-inflammatory,,,,,,
study_type:systematic_review,StudyType,systematic review,,,,,,
evidence_level:evidence_synthesis_nonquantitative,EvidenceLevel,evidence_synthesis_nonquantitative,,,,,,
mechanism:multiple_mechanisms_summarized,Mechanism,multiple mechanisms summarized,,,,,,
record:PMID_38056775_R2,EvidenceRecord,PMID_38056775_R2,,,,positive,0.93,Updated review summarizing gut microbiota-related functional activities of tea bioactive compounds.
mechanism:microbiota_related_mechanisms_summarized,Mechanism,microbiota-related mechanisms summarized,,,,,,
paper:PMID_38430822,Paper,PMID_38430822,2024,Nutrition Research,A green tea extract confection decreases circulating endotoxin and fasting glucose by improving gut barrier function but without affecting systemic inflammation: A double-blind placebo-controlled randomized trial in healthy adults and adults with metabolic syndrome,,,
record:PMID_38430822_R1,EvidenceRecord,PMID_38430822_R1,,,,positive,0.96,"Catechin-rich green tea extract decreased circulating endotoxin and fasting glucose, likely by reducing gut inflammation and small intestinal permeability."
activity:metabolic_improvement,ActivityCategory,metabolic improvement,,,,,,
study_type:randomized_controlled_trial,StudyType,randomized controlled trial,,,,,,
evidence_level:human_interventional,EvidenceLevel,human_interventional,,,,,,
mechanism:reduced_small_intestinal_permeability,Mechanism,reduced small intestinal permeability,,,,,,
mechanism:reduced_gut_inflammation,Mechanism,reduced gut inflammation,,,,,,
phenotype:metabolic_syndrome_phenotype,HostPhenotype,metabolic syndrome phenotype,,,,,,
record:PMID_38430822_R2,EvidenceRecord,PMID_38430822_R2,,,,no_clear_effect,0.95,The trial suggested reduced gut inflammation and improved barrier function but without improvement in systemic inflammation markers.
mechanism:reduced_gut_inflammation_without_systemic_cytokine_change,Mechanism,reduced gut inflammation without systemic cytokine change,,,,,,
phenotype:systemic_inflammation_phenotype,HostPhenotype,systemic inflammation phenotype,,,,,,
paper:PMID_38745351,Paper,PMID_38745351,2024,Journal of Agricultural and Food Chemistry,Gut Microbiota Mediate the Neuroprotective Effect of Oolong Tea Polyphenols in Cognitive Impairment Induced by Circadian Rhythm Disorder,,,
record:PMID_38745351_R1,EvidenceRecord,PMID_38745351_R1,,,,positive,0.98,"OTP relieved microglia activation, reduced LPS and glutamate-related neurotoxicity, increased SCFAs, upregulated Muribaculaceae and Clostridia_UCG-014, downregulated Desulfovibrio, and improved synaptic plasticity markers including BDNF, PSD-95, and SYN."
tea_type:oolong_tea,TeaType,oolong tea,,,,,,
activity:neuroprotection,ActivityCategory,neuroprotection,,,,,,
mechanism:microglia_activation_reduction,Mechanism,microglia activation reduction,,,,,,
mechanism:intestinal_barrier_protection,Mechanism,intestinal barrier protection,,,,,,
mechanism:bdnf_psd95_syn_synaptic_plasticity_support,Mechanism,BDNF-PSD95-SYN synaptic plasticity support,,,,,,
microbiota:muribaculaceae_clostridia_ucg_014_desulfovibrio,MicrobiotaFeature,Muribaculaceae; Clostridia_UCG-014; Desulfovibrio,,,,,,
metabolite:lps_scfas_glutamate,MicrobialMetabolite,LPS; SCFAs; glutamate,,,,,,
phenotype:cognitive_impairment_phenotype,HostPhenotype,cognitive impairment phenotype,,,,,,
paper:PMID_38745671,Paper,PMID_38745671,2024,Frontiers in Immunology,Green tea extract suppresses airway inflammation via oxidative stress-driven MAPKs/MMP-9 signaling in asthmatic mice and human airway epithelial cells,,,
record:PMID_38745671_R1,EvidenceRecord,PMID_38745671_R1,,,,positive,Green tea extract suppressed airway inflammation via oxidative stress-driven MAPKs/MMP-9 signaling.,
microbiota:mapks_mmp_9_signaling_modulation,MicrobiotaFeature,MAPKs/MMP-9 signaling modulation,,,,,,
record:PMID_38745671_R2,EvidenceRecord,PMID_38745671_R2,,,,positive,Green tea extract reduced oxidative-stress-related signaling in the asthmatic model.,
microbiota:oxidative_stress_driven_signaling_reduction,MicrobiotaFeature,oxidative stress-driven signaling reduction,,,,,,
paper:PMID_39153277,Paper,PMID_39153277,2024,Phytomedicine,Yellow tea polysaccharides protect against non-alcoholic fatty liver disease via regulation of gut microbiota and bile acid metabolism in mice,,,
record:PMID_39153277_R1,EvidenceRecord,PMID_39153277_R1,,,,positive,0.97,"YTP altered colonic bile-acid composition, increased conjugated and non-12OH bile acids, decreased FXR, FGF15, FGFR4, and ASBT, increased Cyp7a1 and Cyp27a1, and inhibited hepatic cholesterol accumulation in NAFLD mice."
mechanism:alternative_bile_acid_synthesis_activation,Mechanism,alternative bile acid synthesis activation,,,,,,
mechanism:fxr_fgf15_fgfr4_asbt_suppression,Mechanism,FXR-FGF15-FGFR4-ASBT suppression,,,,,,
mechanism:fxr_shp_pathway_modulation,Mechanism,FXR-SHP pathway modulation,,,,,,
microbiota:muribaculaceae_pseudomonas_acterium_coprostanoligenes_group_clostridiales_lachnospiraceae_nk4a136_group_delftia_dubosiella_romboutsia,MicrobiotaFeature,Muribaculaceae; Pseudomonas; acterium_coprostanoligenes_group; Clostridiales; Lachnospiraceae_NK4A136_group; Delftia; Dubosiella; Romboutsia,,,,,,
metabolite:conjugated_bile_acids_non_12oh_bile_acids,MicrobialMetabolite,conjugated bile acids; non-12OH bile acids,,,,,,
phenotype:nafld_phenotype,HostPhenotype,NAFLD phenotype,,,,,,
record:PMID_39153277_R2,EvidenceRecord,PMID_39153277_R2,,,,positive,0.96,"YTP reshaped the intestinal microbiome by decreasing BSH-producing genera and increasing taurine-metabolism genera, with multiple genera strongly correlated with specific bile-acid monomers."
mechanism:bile_salt_hydrolase_related_microbial_remodeling,Mechanism,bile salt hydrolase-related microbial remodeling,,,,,,
