record_id,paper_id,tea_type,component_group,activity_category,mechanism_label,microbiota_taxon,microbial_metabolite,host_phenotype,evidence_level,uncertainty_class
PMID_41907215_GLM1,PMID_41907215,green tea,catechins,gut microbiota modulation,gut-lung axis modulation,,,gut homeostasis; barrier function; immune response,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41899489_GLM1,PMID_41899489,black tea,tea polysaccharides,gut microbiota modulation,gut-liver axis: promotes butyrate production to skew macrophages to M2,,butyric acid,reduced liver inflammation and injury,preclinical_in_vivo,low_uncertainty
PMID_41899489_GLM2,PMID_41899489,black tea,tea polysaccharides,gut microbiota modulation,TPS promotes gut microbiota production of butyric acid,,butyric acid,,preclinical_in_vivo,low_uncertainty
PMID_41898599_GLM1,PMID_41898599,fermented tea,mixed polyphenols,antioxidant,phenolic compounds,,organic acids,,evidence_synthesis_nonquantitative,low_uncertainty
PMID_41884463_GLM1,PMID_41884463,dark tea,volatile compounds; mixed polyphenols,other,Temperature-dependent metabolic regulation,Aspergillus tubingensis,1-octen-3-ol; beta-ionone,,preclinical_in_vivo,moderate_uncertainty
PMID_41863981_GLM1,PMID_41863981,unspecified tea,catechins,gut microbiota modulation,microbiota remodeling,"increased Prevotella and Subdoligranulum; decreased Oscillibacter, Desulfovibrio, Firmicutes, Verrucomicrobia",,improved gut health,preclinical_in_vivo,moderate_uncertainty
PMID_41863176_GLM1,PMID_41863176,green tea,catechins,gut microbiota modulation,regulation of gut microbiota,,,tumorigenesis inhibition,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41861686_GLM1,PMID_41861686,yellow tea,tea polysaccharides,gut microbiota modulation,barrier-related mechanism,beneficial gut microbiota,SCFAs,intestinal barrier integrity,preclinical_in_vivo,low_uncertainty
PMID_41861686_GLM2,PMID_41861686,yellow tea,tea polysaccharides,gut microbiota modulation,hormone signaling,,,glucose homeostasis,preclinical_in_vivo,low_uncertainty
PMID_41853609_GLM1,PMID_41853609,unspecified tea,caffeine,other,metabolite correlation,,echinulin; 6-gingerol,,preclinical_in_vivo,moderate_uncertainty
PMID_41853609_GLM2,PMID_41853609,unspecified tea,caffeine,metabolic improvement,metabolite correlation,,fuzhuanin A; teadenol A; betaine,,preclinical_in_vivo,moderate_uncertainty
PMID_41830022_GLM1,PMID_41830022,green tea,catechins,gut microbiota modulation,microbiota-associated mechanism,Coprococcus; Bifidobacterium,,insulin resistance,human_interventional,moderate_uncertainty
PMID_41829951_GLM1,PMID_41829951,green tea,mixed polyphenols,gut microbiota modulation,microbiota-associated mechanism,Bifidobacterium,,metabolic health,evidence_synthesis,moderate_uncertainty
PMID_41829951_GLM2,PMID_41829951,green tea,mixed polyphenols,gut microbiota modulation,microbiota-associated mechanism,Bifidobacterium; Faecalibacterium; Lactobacillus,,metabolic markers; inflammation; gut barrier integrity,evidence_synthesis,moderate_uncertainty
PMID_41829159_GLM1,PMID_41829159,dark tea,multiple component groups,gut microbiota modulation,microbiota-associated mechanism,Lactobacillus; Ligilactobacillus; Actinobacteria,,improved motility; anti-inflammatory response,preclinical_in_vivo,moderate_uncertainty
PMID_41829159_GLM2,PMID_41829159,dark tea,multiple component groups,gut microbiota modulation,metabolite transformation,,"cyclo-(Gly-Pro); N-(17-hydroxy-9,12-octadecadienoyl)-glutamine",increased fecal water; reduced defecation time; accelerated intestinal transit,preclinical_in_vivo,low_uncertainty
PMID_41828893_GLM3,PMID_41828893,unspecified tea,whole extract,other,growth inhibition,Staphylococcus aureus; Bacillus pumilus; Bacillus subtilis,,,preclinical_in_vivo,moderate_uncertainty
PMID_41804768_GLM1,PMID_41804768,green tea,catechins,gut microbiota modulation,Modulation of gut microbiota composition,Akkermansia muciniphila,,Altered gut microbiota composition,preclinical_in_vivo,low_uncertainty
PMID_41804768_GLM2,PMID_41804768,green tea,catechins,anti-inflammatory,SCFA-mediated inhibition of JAK2/STAT3 signaling,,SCFAs,Reduced pulmonary inflammation and intestinal tissue damage,preclinical_in_vivo,low_uncertainty
PMID_41804768_GLM3,PMID_41804768,green tea,catechins,other,Akkermansia muciniphila metabolism,Akkermansia muciniphila,SCFAs,,preclinical_in_vivo,moderate_uncertainty
PMID_41802656_GLM1,PMID_41802656,unspecified tea,theanine,gut microbiota modulation,elevated levels of tight junction proteins,Lactobacillus; Bifidobacterium,,enhanced intestinal health,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41800414_GLM1,PMID_41800414,green tea,catechins,other,disruption of extracellular polysaccharide synthesis and central metabolism,Streptococcus mutans,extracellular polysaccharides,,preclinical_in_vivo,moderate_uncertainty
PMID_41798939_GLM1,PMID_41798939,fermented tea,whole extract,gut microbiota modulation,remodeled gut microbiota composition,gut microbiota,,osteinoarthritis amelioration,preclinical_in_vivo,low_uncertainty
PMID_41791619_GLM1,PMID_41791619,unspecified tea,multiple component groups,gut microbiota modulation,modulation of bacterial abundance,Firmicutes; Bacteroidetes,,metabolic homeostasis,evidence_synthesis_nonquantitative,moderate_uncertainty
PMID_41789592_GLM1,PMID_41789592,black tea,theaflavins,gut microbiota modulation,biotransformation,,theaflavin; gallic acid,,evidence_synthesis_nonquantitative,low_uncertainty
PMID_41763794_GLM1,PMID_41763794,unspecified tea,multiple component groups,gut microbiota modulation,"enrichment of beneficial genera (Akkermansia, Allobaculum, Lactobacillus), SCFA/bile acid metabolism, TLR4/NF-κB and Nrf2/ARE signaling",Akkermansia; Allobaculum; Lactobacillus,short-chain fatty acids (SCFAs); secondary bile acids,enhanced gut barrier integrity; reduced DAI; attenuated histopathological damage,preclinical_in_vivo,moderate_uncertainty
